,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,random_state,splitter,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,entropy,,sqrt,30.0,4,10,23,random,0.7243449781659389,0.7053941908713693,0.7243449781659389,0.7047835676867935,0.7243449781659389,0.7053941908713693,0.7255516914246487,0.7059175821724344,0.7248877281725528,0.7052079016438735,0.7243449781659389,0.7053941908713693,0.7243449781659389,0.7053941908713693,0.7241785594712776,0.7048860833721391,0.7243449781659389,0.7053941908713693,0.7245113968606001,0.7055466231211384
1,gini,5.0,sqrt,10.0,1,2,23,best,0.6861353711790393,0.5975103734439834,0.7167391201903819,0.637922077922078,0.6861353711790393,0.5975103734439834,0.7132961984266059,0.6427418224928598,0.675833392072695,0.6100290095317032,0.6861353711790393,0.5975103734439834,0.6861353711790393,0.5975103734439834,0.6664554703487653,0.580884594008283,0.6861353711790393,0.5975103734439834,0.6704356750110678,0.5763817787444474
2,gini,,sqrt,,4,5,23,random,0.7718340611353712,0.7302904564315352,0.7737013324476631,0.7299903567984571,0.7718340611353712,0.7302904564315352,0.7755686037599553,0.731290788541796,0.7737013324476631,0.7306257770410278,0.7718340611353712,0.7302904564315352,0.7718340611353712,0.7302904564315352,0.7718340611353712,0.7299929331058138,0.7718340611353712,0.7302904564315352,0.7718340611353712,0.7304764085101112
3,entropy,,0.5,,4,5,23,best,0.7849344978165939,0.7593360995850622,0.7858177953820887,0.7586337891974029,0.7849344978165939,0.7593360995850622,0.7874077309999794,0.7593360995850622,0.7862958480629749,0.7586337891974029,0.7849344978165939,0.7593360995850622,0.7849344978165939,0.7593360995850622,0.7849088629201055,0.7586337891974029,0.7849344978165939,0.7593360995850622,0.7850242199543033,0.7593360995850622
4,entropy,15.0,log2,,2,2,23,random,0.7778384279475983,0.7385892116182573,0.7777364607170099,0.738006617038875,0.7778384279475983,0.7385892116182573,0.7788835920611287,0.7390885784005848,0.7784030698982475,0.7384997927890593,0.7778384279475983,0.7385892116182573,0.7778384279475983,0.7385892116182573,0.7776793826030771,0.7381383556682362,0.7778384279475983,0.7385892116182573,0.7779715067052587,0.7387244684032637
5,entropy,5.0,0.5,30.0,1,10,23,random,0.699235807860262,0.6182572614107884,0.7230574158657215,0.655592377796189,0.699235807860262,0.6182572614107884,0.7200292453565529,0.660494968836696,0.6902020355279554,0.629714048901782,0.699235807860262,0.6182572614107884,0.699235807860262,0.6182572614107884,0.684258761979504,0.6057049366908522,0.699235807860262,0.6182572614107884,0.6876370430052389,0.6019100478220343
6,entropy,5.0,log2,,2,5,23,best,0.6872270742358079,0.6887966804979253,0.693604174847176,0.6884453781512605,0.6872270742358079,0.6887966804979253,0.6960361199955791,0.6885926984901845,0.6908519517198288,0.6858682138416908,0.6872270742358079,0.6887966804979253,0.6872270742358079,0.6887966804979253,0.6867296647612056,0.6861815719568727,0.6872270742358079,0.6887966804979253,0.6861164202034769,0.6877268633674948
7,gini,5.0,0.7,30.0,2,10,23,random,0.7237991266375546,0.6846473029045643,0.7233231607330474,0.6862663906142168,0.7237991266375546,0.6846473029045643,0.7242543983723007,0.6881798579074423,0.7237222994130444,0.6864207763503246,0.7237991266375546,0.6846473029045643,0.7237991266375546,0.6846473029045643,0.7234180689819788,0.6846418732782369,0.7237991266375546,0.6846473029045643,0.7239224099967115,0.6847124584204932
8,gini,15.0,0.7,10.0,4,2,23,best,0.7259825327510917,0.7261410788381742,0.7336862469350802,0.7273592890393568,0.7259825327510917,0.7261410788381742,0.7364595840413161,0.7269312692389412,0.7298893350425493,0.7226481558226274,0.7259825327510917,0.7261410788381742,0.7259825327510917,0.7261410788381742,0.7254590091897366,0.7231620718462823,0.7259825327510917,0.7261410788381742,0.724870045183212,0.7247111554820661
9,entropy,,,,4,5,23,random,0.7854803493449781,0.7427385892116183,0.7867872061105143,0.7422276197085358,0.7854803493449781,0.7427385892116183,0.7885168694766652,0.7425439341628248,0.7870849466746154,0.7410899295482801,0.7854803493449781,0.7427385892116183,0.7854803493449781,0.7427385892116183,0.7854726151134217,0.7414521040974529,0.7854803493449781,0.7427385892116183,0.7855358951897926,0.7424358868318146
10,entropy,15.0,0.5,30.0,1,5,23,best,0.759825327510917,0.6804979253112033,0.7745453792785835,0.7001471670345842,0.759825327510917,0.6804979253112033,0.7719679383075914,0.7043347103526819,0.7535455676074124,0.6878712529354883,0.759825327510917,0.6804979253112033,0.759825327510917,0.6804979253112033,0.7531163668216427,0.6772976262933658,0.759825327510917,0.6804979253112033,0.7551157259674529,0.675564130992037
11,gini,,sqrt,,1,5,23,random,0.7893013100436681,0.7759336099585062,0.7905633515400965,0.7761069340016709,0.7893013100436681,0.7759336099585062,0.7922843172170443,0.7760168054992252,0.7908882705658452,0.773932863655201,0.7893013100436681,0.7759336099585062,0.7893013100436681,0.7759336099585062,0.7892922695525733,0.7745322245322246,0.7893013100436681,0.7759336099585062,0.7893600732357848,0.7754910671923121
12,gini,20.0,sqrt,30.0,1,10,23,random,0.7270742358078602,0.6970954356846473,0.7329508194741501,0.6965406611800808,0.7270742358078602,0.6970954356846473,0.7354693553311316,0.6968077748304278,0.7304460647216173,0.6946401436662523,0.7270742358078602,0.6970954356846473,0.7270742358078602,0.6970954356846473,0.7267811720013935,0.6949948856642568,0.7270742358078602,0.6970954356846473,0.7263415762916934,0.6963602431775107
13,entropy,15.0,0.7,10.0,2,5,23,random,0.6997816593886463,0.6721991701244814,0.7287849701257523,0.7145573717430005,0.6997816593886463,0.6721991701244814,0.7253413052625074,0.7204784106789225,0.6900771894947737,0.6831399364553115,0.6997816593886463,0.6721991701244814,0.6997816593886463,0.6721991701244814,0.6827903368794326,0.662913192046883,0.6997816593886463,0.6721991701244814,0.6863969855252563,0.6598952491716635
14,gini,,sqrt,30.0,2,10,23,random,0.7270742358078602,0.6970954356846473,0.7329508194741501,0.6965406611800808,0.7270742358078602,0.6970954356846473,0.7354693553311316,0.6968077748304278,0.7304460647216173,0.6946401436662523,0.7270742358078602,0.6970954356846473,0.7270742358078602,0.6970954356846473,0.7267811720013935,0.6949948856642568,0.7270742358078602,0.6970954356846473,0.7263415762916934,0.6963602431775107
15,gini,5.0,0.5,,1,2,23,random,0.7194323144104804,0.6680497925311203,0.7255709570957096,0.6857875457875457,0.7194323144104804,0.6680497925311203,0.7242492397711388,0.6896958643016734,0.7143451078872826,0.6751623152369112,0.7194323144104804,0.6680497925311203,0.7194323144104804,0.6680497925311203,0.7139333136475046,0.6649986099527384,0.7194323144104804,0.6680497925311203,0.7158817784847795,0.663274028495392
16,gini,5.0,sqrt,10.0,2,5,23,random,0.6604803493449781,0.6597510373443983,0.6650632193957227,0.6593666243475808,0.6604803493449781,0.6597510373443983,0.667146342146061,0.6595016883734895,0.6635297856351796,0.6560643735322559,0.6604803493449781,0.6597510373443983,0.6604803493449781,0.6597510373443983,0.6601851067662141,0.6560498468393205,0.6604803493449781,0.6597510373443983,0.6596930358016074,0.6579744659019608
