,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,random_state,splitter,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,entropy,,sqrt,30.0,4,10,23,random,0.7131574287232159,0.7140022675736961,0.7192715722230916,0.7194485092372416,0.7131574287232159,0.7140022675736961,0.7211462156130176,0.7207371289165626,0.7160064570234097,0.716104991915113,0.7131574287232159,0.7140022675736961,0.7131574287232159,0.7140022675736961,0.7125905102713636,0.7133287962038867,0.7131574287232159,0.7140022675736961,0.7120891445910571,0.712911322723186
1,gini,5.0,sqrt,10.0,1,2,23,best,0.7020364795466619,0.6981292517006803,0.7015670184642178,0.6978456867380523,0.7020364795466619,0.6981292517006803,0.7019001165706993,0.6980544220577646,0.7012598287236806,0.6976945447036189,0.7020364795466619,0.6981292517006803,0.7020364795466619,0.6981292517006803,0.7013678680084626,0.6977498236487845,0.7020364795466619,0.6981292517006803,0.7019228756400966,0.6980715786367921
2,gini,,sqrt,,4,5,23,random,0.8106959447494245,0.7732426303854876,0.8106667568006285,0.7732874073126625,0.8106959447494245,0.7732426303854876,0.811419534363762,0.7737620427407178,0.8111460479352746,0.7735321354555504,0.8106959447494245,0.7732426303854876,0.8106959447494245,0.7732426303854876,0.8106171295320754,0.7732006479981486,0.8106959447494245,0.7732426303854876,0.8107688761918671,0.773293359103522
3,entropy,,0.5,,4,5,23,best,0.8132459713122012,0.770124716553288,0.8133648609513919,0.7701984039243714,0.8132459713122012,0.770124716553288,0.8142046610142104,0.7706865827578,0.8138393387303373,0.7704369763198212,0.8132459713122012,0.770124716553288,0.8132459713122012,0.770124716553288,0.8131928789866617,0.7700873114537614,0.8132459713122012,0.770124716553288,0.8133165751820888,0.7701754212437575
4,entropy,15.0,log2,,2,2,23,random,0.8039312909509474,0.7879818594104309,0.8038201188148437,0.7881533981250284,0.8039312909509474,0.7879818594104309,0.8045166719161941,0.7886881952940675,0.8042775948397362,0.7883869693559142,0.8039312909509474,0.7879818594104309,0.8039312909509474,0.7879818594104309,0.8038295537132437,0.7879597810869288,0.8039312909509474,0.7879818594104309,0.8040050227592987,0.788024789483907
5,entropy,5.0,0.5,30.0,1,10,23,random,0.7389764476713299,0.7414965986394558,0.7385864164028078,0.7413321650325563,0.7389764476713299,0.7414965986394558,0.7390441356375074,0.7416807642791832,0.7386873846762686,0.7415017014127564,0.7389764476713299,0.7414965986394558,0.7389764476713299,0.7414965986394558,0.7386306516770458,0.7413701801345584,0.7389764476713299,0.7414965986394558,0.739004057478079,0.7415419796412138
6,entropy,5.0,log2,,2,5,23,best,0.7075615370993448,0.7125850340136054,0.7075041426769684,0.7130157040536743,0.7075615370993448,0.7125850340136054,0.7075287466253316,0.7128756702369649,0.7060800833036444,0.711387708848858,0.7075615370993448,0.7125850340136054,0.7075615370993448,0.7125850340136054,0.7063034020374003,0.7115036231884058,0.7075615370993448,0.7125850340136054,0.7070584192363701,0.7120343155378093
7,gini,5.0,0.7,30.0,2,10,23,random,0.7527536745174429,0.7573696145124716,0.7523730661651424,0.7571512070592223,0.7527536745174429,0.7573696145124716,0.752782469329741,0.7573616724232626,0.7524259893910811,0.7571333406457037,0.7527536745174429,0.7573696145124716,0.7527536745174429,0.7573696145124716,0.75239808744284,0.7571420299924729,0.7527536745174429,0.7573696145124716,0.7527666351678257,0.7573653999843235
8,gini,15.0,0.7,10.0,4,2,23,best,0.7240658756862051,0.7312925170068028,0.726428738802211,0.7338116310125422,0.7240658756862051,0.7312925170068028,0.7278014026029709,0.7348006165110919,0.725741930243379,0.732652232133236,0.7240658756862051,0.7312925170068028,0.7240658756862051,0.7312925170068028,0.7240104849698463,0.731147277424707,0.7240658756862051,0.7312925170068028,0.7238569142087418,0.730959528696632
9,entropy,,,,4,5,23,random,0.8136001416681424,0.7672902494331065,0.8135762793929862,0.7672735604937764,0.8136001416681424,0.7672902494331065,0.8143323726257957,0.7677158173860268,0.8140603051103413,0.7675147086401017,0.8136001416681424,0.7672902494331065,0.8136001416681424,0.7672902494331065,0.8135236101504,0.7672336791479166,0.8136001416681424,0.7672902494331065,0.8136719903132955,0.7673427055157371
10,entropy,15.0,0.5,30.0,1,5,23,best,0.7608995927040907,0.7678571428571429,0.7607371976546027,0.7678925853558207,0.7608995927040907,0.7678571428571429,0.7614117149200788,0.7683621984633014,0.7611167122192641,0.7681332579794633,0.7608995927040907,0.7678571428571429,0.7608995927040907,0.7678571428571429,0.7607575432576011,0.7678123535734958,0.7608995927040907,0.7678571428571429,0.7609865154031781,0.7679092446768956
11,gini,,sqrt,,1,5,23,random,0.8166814237648309,0.7738095238095238,0.816881047803487,0.7739351128883021,0.8166814237648309,0.7738095238095238,0.8177630520220912,0.7744471299017828,0.8173455816794537,0.774167732696621,0.8166814237648309,0.7738095238095238,0.8166814237648309,0.7738095238095238,0.8166390940106554,0.773780443905048,0.8166814237648309,0.7738095238095238,0.8167485198786755,0.773857505651909
12,gini,20.0,sqrt,30.0,1,10,23,random,0.7230387816539756,0.7185374149659864,0.7231818438952256,0.718735857983297,0.7230387816539756,0.7185374149659864,0.7240125037148395,0.71926173197917,0.7235164545944203,0.7189053510146879,0.7230387816539756,0.7185374149659864,0.7230387816539756,0.7185374149659864,0.7229655694409692,0.7185127869516327,0.7230387816539756,0.7185374149659864,0.7231424590798016,0.7185918951189507
13,entropy,15.0,0.7,10.0,2,5,23,random,0.6964405879227908,0.6981292517006803,0.7102714863899575,0.7129691954387076,0.6964405879227908,0.6981292517006803,0.7085041783590683,0.7114907799911223,0.6906981367737344,0.6937735273105776,0.6964405879227908,0.6981292517006803,0.6964405879227908,0.6981292517006803,0.687038076979426,0.6895946395073129,0.6964405879227908,0.6981292517006803,0.6891687236153459,0.6911410820585897
14,gini,,sqrt,30.0,2,10,23,random,0.7230387816539756,0.7185374149659864,0.7231818438952256,0.718735857983297,0.7230387816539756,0.7185374149659864,0.7240125037148395,0.71926173197917,0.7235164545944203,0.7189053510146879,0.7230387816539756,0.7185374149659864,0.7230387816539756,0.7185374149659864,0.7229655694409692,0.7185127869516327,0.7230387816539756,0.7185374149659864,0.7231424590798016,0.7185918951189507
15,gini,5.0,0.5,,1,2,23,random,0.7397556224544005,0.7465986394557823,0.7469169282741825,0.7548151158065827,0.7397556224544005,0.7465986394557823,0.7489986813945334,0.7564339754593427,0.7427836786904458,0.7491143936720762,0.7397556224544005,0.7465986394557823,0.7397556224544005,0.7465986394557823,0.7391566597762811,0.7456452062430323,0.7397556224544005,0.7465986394557823,0.7386657140186799,0.7451773177219606
16,gini,5.0,sqrt,10.0,2,5,23,random,0.6420400212502213,0.6386054421768708,0.641451645741432,0.6382751433038041,0.6420400212502213,0.6386054421768708,0.6419799926558025,0.6385993255310731,0.6413991612388281,0.638270384224322,0.6420400212502213,0.6386054421768708,0.6420400212502213,0.6386054421768708,0.6414221997212634,0.6382727123957658,0.6420400212502213,0.6386054421768708,0.6420068107072824,0.6386023325527482
17,entropy,20.0,log2,30.0,2,2,23,best,0.7475473702851071,0.7502834467120182,0.7499088624334518,0.7540181976680833,0.7475473702851071,0.7502834467120182,0.7513237164542591,0.75519642267208,0.7492193022086597,0.7519416112583056,0.7475473702851071,0.7502834467120182,0.7475473702851071,0.7502834467120182,0.7475037762446974,0.7500178347969395,0.7475473702851071,0.7502834467120182,0.7473734641400763,0.7497730099013018
18,entropy,15.0,sqrt,30.0,4,5,23,random,0.7131574287232159,0.7140022675736961,0.7192715722230916,0.7194485092372416,0.7131574287232159,0.7140022675736961,0.7211462156130176,0.7207371289165626,0.7160064570234097,0.716104991915113,0.7131574287232159,0.7140022675736961,0.7131574287232159,0.7140022675736961,0.7125905102713636,0.7133287962038867,0.7131574287232159,0.7140022675736961,0.7120891445910571,0.712911322723186
19,gini,,sqrt,10.0,2,5,23,best,0.7179387285284222,0.7236394557823129,0.722689896198035,0.7289112050739958,0.7179387285284222,0.7236394557823129,0.7244101198172321,0.7302047361501958,0.7204092164792422,0.7256826960902728,0.7179387285284222,0.7236394557823129,0.7179387285284222,0.7236394557823129,0.7176006035088789,0.7230482725138011,0.7179387285284222,0.7236394557823129,0.7172167952727752,0.7226638220447075
20,entropy,20.0,0.5,30.0,2,10,23,random,0.747511953249513,0.7522675736961452,0.7493264636485377,0.75484897092993,0.747511953249513,0.7522675736961452,0.7506322988416063,0.7558776480230924,0.7489678779814317,0.7536291926982228,0.747511953249513,0.7522675736961452,0.747511953249513,0.7522675736961452,0.7474971758451254,0.7521401268642511,0.747511953249513,0.7522675736961452,0.7474213048198205,0.7519712598119915
21,entropy,15.0,log2,30.0,1,5,23,best,0.7475473702851071,0.7502834467120182,0.7499088624334518,0.7540181976680833,0.7475473702851071,0.7502834467120182,0.7513237164542591,0.75519642267208,0.7492193022086597,0.7519416112583056,0.7475473702851071,0.7502834467120182,0.7475473702851071,0.7502834467120182,0.7475037762446974,0.7500178347969395,0.7475473702851071,0.7502834467120182,0.7473734641400763,0.7497730099013018
22,entropy,5.0,log2,,4,2,23,best,0.7074907030281565,0.7128684807256236,0.7074300883108071,0.7132877127889203,0.7074907030281565,0.7128684807256236,0.7074561129803931,0.7131505566200641,0.7060119262698386,0.7116799356168301,0.7074907030281565,0.7128684807256236,0.7074907030281565,0.7128684807256236,0.7062349973310721,0.7117981536154943,0.7074907030281565,0.7128684807256236,0.70698937307217,0.7123258497721162
