,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,random_state,splitter,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,entropy,,sqrt,30.0,4,10,23,random,0.7446153846153846,0.7209302325581395,0.7455621301775148,0.7288888888888889,0.7446153846153846,0.7209302325581395,0.7462175694128358,0.7300258397932816,0.7453573864928371,0.722943722943723,0.7446153846153846,0.7209302325581395,0.7446153846153846,0.7209302325581395,0.7446057128790676,0.7195652173913043,0.7446153846153846,0.7209302325581395,0.7445621900656411,0.7191102123356926
1,gini,5.0,sqrt,10.0,1,2,23,best,0.7415384615384616,0.6511627906976745,0.7487179487179487,0.6702380952380952,0.7415384615384616,0.6511627906976745,0.747723865877712,0.6717054263565891,0.7389524747972409,0.6547619047619048,0.7415384615384616,0.6511627906976745,0.7415384615384616,0.6511627906976745,0.7381445672191529,0.6442360728075014,0.7415384615384616,0.6511627906976745,0.7389701090806063,0.6430816198258059
2,gini,,sqrt,,4,5,23,random,0.7538461538461538,0.6976744186046512,0.7550284629981024,0.7092760180995474,0.7538461538461538,0.6976744186046512,0.7557378484892716,0.7105650847100915,0.7546805123929357,0.7002164502164503,0.7538461538461538,0.6976744186046512,0.7538461538461538,0.6976744186046512,0.7538251780033328,0.6950354609929078,0.7538461538461538,0.6976744186046512,0.7537622504748698,0.694375721589972
3,entropy,,0.5,,4,5,23,best,0.7630769230769231,0.627906976744186,0.7629006592407366,0.6400462962962963,0.7630769230769231,0.627906976744186,0.7631272841729765,0.6411498708010336,0.7629803683771698,0.6309523809523809,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.762933280283438,0.6228070175438596,0.7630769230769231,0.627906976744186,0.7630948784261087,0.6217870257037944
4,entropy,15.0,log2,,2,2,23,random,0.7569230769230769,0.627906976744186,0.7579492471145761,0.6333333333333333,0.7569230769230769,0.627906976744186,0.7576513267363989,0.6341085271317829,0.755798529523232,0.6298701298701299,0.7569230769230769,0.627906976744186,0.7569230769230769,0.627906976744186,0.7559990496555001,0.6260869565217391,0.7569230769230769,0.627906976744186,0.7564148619259097,0.6254802831142569
5,entropy,5.0,0.5,30.0,1,10,23,random,0.7292307692307692,0.5813953488372093,0.7421747967479675,0.5855555555555556,0.7292307692307692,0.5813953488372093,0.7408042526579112,0.5861498708010336,0.7257826119912074,0.5833333333333333,0.7292307692307692,0.5813953488372093,0.7292307692307692,0.5813953488372093,0.7234470488125628,0.5793478260869566,0.7292307692307692,0.5813953488372093,0.7245545697437088,0.578665318503539
6,entropy,5.0,log2,,2,5,23,best,0.7261538461538461,0.627906976744186,0.738150218765192,0.6502463054187192,0.7261538461538461,0.627906976744186,0.7368494072772147,0.6517355939970214,0.7227886000151595,0.6320346320346321,0.7261538461538461,0.627906976744186,0.7261538461538461,0.627906976744186,0.7205557004704906,0.6177777777777778,0.7261538461538461,0.627906976744186,0.721650989843321,0.6163307493540052
7,gini,5.0,0.7,30.0,2,10,23,random,0.7261538461538461,0.627906976744186,0.7277722277722278,0.6293478260869565,0.7261538461538461,0.627906976744186,0.7273987550910628,0.6298281092012133,0.7246645948609112,0.6287878787878788,0.7261538461538461,0.627906976744186,0.7261538461538461,0.627906976744186,0.724652305114756,0.6277056277056277,0.7261538461538461,0.627906976744186,0.7252153830044147,0.6275042786670694
8,gini,15.0,0.7,10.0,4,2,23,best,0.7538461538461538,0.627906976744186,0.7615384615384615,0.6400462962962963,0.7538461538461538,0.627906976744186,0.7604733727810651,0.6411498708010336,0.7512696126733873,0.6309523809523809,0.7538461538461538,0.627906976744186,0.7538461538461538,0.627906976744186,0.7506138735420503,0.6228070175438596,0.7538461538461538,0.627906976744186,0.7514001038862917,0.6217870257037944
9,entropy,,,,4,5,23,random,0.7630769230769231,0.6744186046511628,0.7633522727272728,0.6898148148148149,0.7630769230769231,0.6744186046511628,0.7638479020979021,0.6912144702842377,0.763492003335102,0.6774891774891775,0.7630769230769231,0.6744186046511628,0.7630769230769231,0.6744186046511628,0.7630679505022675,0.6699561403508771,0.7630769230769231,0.6744186046511628,0.7631083270882174,0.66906364749082
