,criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,friedman_mse,2.0,exponential,20.0,log2,,4,5,100,False,0.8163626704444839,0.7610544217687075,0.8163928985789803,0.7611533735679954,0.8163626704444839,0.7610544217687075,0.8163742228123192,0.7611065481629752,0.815601049559023,0.7603356120695284,0.8163626704444839,0.7610544217687075,0.8163626704444839,0.7610544217687075,0.815875738050581,0.7605306275367749,0.8163626704444839,0.7610544217687075,0.8162476444037754,0.7608671256494103
1,friedman_mse,0.5,exponential,15.0,0.5,30.0,2,2,100,False,0.8157959978749779,0.7797619047619048,0.8154910052601086,0.7795611236880016,0.8157959978749779,0.7797619047619048,0.815894148060931,0.7798029736179304,0.8156994709691539,0.7796396266573857,0.8157959978749779,0.7797619047619048,0.8157959978749779,0.7797619047619048,0.815576536293753,0.7795952924149991,0.8157959978749779,0.7797619047619048,0.8158264160612874,0.7797773636394527
2,friedman_mse,0.5,log_loss,5.0,sqrt,30.0,4,2,100,False,0.8109084469629892,0.7888321995464853,0.8106899162317602,0.7887089682622328,0.8109084469629892,0.7888321995464853,0.8112853722045684,0.7890718159325315,0.8111053084917101,0.7889397395273614,0.8109084469629892,0.7888321995464853,0.8109084469629892,0.7888321995464853,0.8107720677842729,0.7887466410453905,0.8109084469629892,0.7888321995464853,0.8109715987990438,0.7888743762723769
3,squared_error,2.0,exponential,20.0,0.7,10.0,2,5,100,False,0.7936249335930583,0.7825963718820862,0.7939548940259421,0.782736436269045,0.7936249335930583,0.7825963718820862,0.7937943296906775,0.7826677009680375,0.7924910160154909,0.7819311219738768,0.7936249335930583,0.7825963718820862,0.7936249335930583,0.7825963718820862,0.7928793874123219,0.7821426739832812,0.7936249335930583,0.7825963718820862,0.7933674692980578,0.7824413819166559
4,squared_error,0.5,log_loss,,0.7,,1,10,100,True,0.817283513369931,0.7678571428571429,0.8170106292245627,0.7676825256630948,0.817283513369931,0.7678571428571429,0.8172726452567821,0.7678147358243027,0.8169691526380667,0.767502485616235,0.817283513369931,0.7678571428571429,0.817283513369931,0.7678571428571429,0.8169893465800933,0.767574631052744,0.817283513369931,0.7678571428571429,0.8172775364828583,0.7678180965101934
5,squared_error,1.0,log_loss,15.0,sqrt,10.0,1,10,100,True,0.8098105188595714,0.7882653061224489,0.8096654528633316,0.7883597356469156,0.8098105188595714,0.7882653061224489,0.8103329972194727,0.7888602121265887,0.8101213230378272,0.7886110045170507,0.8098105188595714,0.7882653061224489,0.8098105188595714,0.7882653061224489,0.8097017594767606,0.7882338477460911,0.8098105188595714,0.7882653061224489,0.8098804471145936,0.7883113963017641
6,squared_error,0.5,exponential,15.0,0.5,10.0,1,5,200,True,0.8124313794935364,0.7910997732426304,0.812164412936549,0.7910520429609919,0.8124313794935364,0.7910997732426304,0.8126921596597201,0.7914736604487986,0.8125233144996198,0.7913116494745547,0.8124313794935364,0.7910997732426304,0.8124313794935364,0.7910997732426304,0.8122671929573468,0.7910413336394686,0.8124313794935364,0.7910997732426304,0.8124852562730764,0.7911463268248102
7,squared_error,2.0,log_loss,15.0,0.7,10.0,1,10,200,False,0.6641048344253586,0.6689342403628118,0.664480685330544,0.6700559828269117,0.6641048344253586,0.6689342403628118,0.6643722799589314,0.6698092925754707,0.6616798864075568,0.6670326068461156,0.6641048344253586,0.6689342403628118,0.6641048344253586,0.6689342403628118,0.661499667664331,0.6666190951905238,0.6641048344253586,0.6689342403628118,0.662666050360326,0.6674538073954983
8,squared_error,0.5,exponential,,0.7,30.0,2,10,50,False,0.8123251283867541,0.7905328798185941,0.8120910637832646,0.7904319460067492,0.8123251283867541,0.7905328798185941,0.8126666239723329,0.7908140525801621,0.8124935275190193,0.7906760522334841,0.8123251283867541,0.7905328798185941,0.8123251283867541,0.7905328798185941,0.8121817936972859,0.7904573071125545,0.8123251283867541,0.7905328798185941,0.812385586223722,0.7905768699012142
9,friedman_mse,1.0,log_loss,15.0,log2,30.0,1,5,50,False,0.8123605454223481,0.7791950113378685,0.8121115635557541,0.7790817113619417,0.8123605454223481,0.7791950113378685,0.8126671387872487,0.7794570175321991,0.8124969547177994,0.779310891647075,0.8123605454223481,0.7791950113378685,0.8123605454223481,0.7791950113378685,0.8122086547587777,0.7791105192459458,0.8123605454223481,0.7791950113378685,0.8124184265469465,0.7792403186915082
