,algorithm,n_neighbors,p,weights,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,kd_tree,3,1,distance,0.7707423580786026,0.7053941908713693,0.7747571503179627,0.7117051013277429,0.7707423580786026,0.7053941908713693,0.7736208883634268,0.7145341301530137,0.767123320402709,0.709248514988258,0.7707423580786026,0.7053941908713693,0.7707423580786026,0.7053941908713693,0.7678639525397875,0.7050692038540427,0.7707423580786026,0.7053941908713693,0.7691338373363236,0.7045410999508871
1,auto,5,3,uniform,0.7510917030567685,0.6846473029045643,0.754939143738044,0.6940947666195191,0.7510917030567685,0.6846473029045643,0.7538898417340598,0.6972439211911706,0.7472638408852241,0.6895634756181793,0.7510917030567685,0.6846473029045643,0.7510917030567685,0.6846473029045643,0.7477775590527408,0.6837270341207349,0.7510917030567685,0.6846473029045643,0.7491979064830384,0.6828067653369054
2,auto,3,2,uniform,0.7554585152838428,0.6970954356846473,0.7564162643446419,0.7009715475364331,0.7554585152838428,0.6970954356846473,0.7560414929730248,0.7033710453494432,0.752985253831698,0.7000276281254316,0.7554585152838428,0.6970954356846473,0.7554585152838428,0.6970954356846473,0.7535789089371842,0.6970119693446999,0.7554585152838428,0.6970954356846473,0.7546361875071795,0.6967407037398708
3,kd_tree,3,2,distance,0.7707423580786026,0.7095435684647303,0.7747571503179627,0.7165966386554622,0.7707423580786026,0.7095435684647303,0.7736208883634268,0.7195543777677047,0.767123320402709,0.7136344799005387,0.7707423580786026,0.7095435684647303,0.7707423580786026,0.7095435684647303,0.7678639525397875,0.7091379310344827,0.7707423580786026,0.7095435684647303,0.7691338373363236,0.708552010301903
4,brute,3,1,uniform,0.7554585152838428,0.6846473029045643,0.756083503401977,0.6870506084070797,0.7554585152838428,0.6846473029045643,0.7558206579317337,0.6891334731759263,0.7532002996304796,0.6868697333885896,0.7554585152838428,0.6846473029045643,0.7554585152838428,0.6846473029045643,0.753763440860215,0.6846418732782369,0.7554585152838428,0.6846473029045643,0.7547671033478892,0.6845712881359808
5,kd_tree,10,1,uniform,0.7450873362445415,0.6680497925311203,0.7447340629800308,0.6703885508849557,0.7450873362445415,0.6680497925311203,0.7449432379392805,0.672415474791613,0.7436373324285481,0.6702237878159967,0.7450873362445415,0.6680497925311203,0.7450873362445415,0.6680497925311203,0.7439704475393848,0.6680440771349863,0.7450873362445415,0.6680497925311203,0.7448011912043774,0.6679697769852428
6,kd_tree,5,2,distance,0.7756550218340611,0.7095435684647303,0.7770889990934784,0.7120436946902655,0.7756550218340611,0.7095435684647303,0.7765421433589548,0.714210470752396,0.7731499789135647,0.711838651747479,0.7756550218340611,0.7095435684647303,0.7756550218340611,0.7095435684647303,0.7738648598728697,0.709538567493113,0.7756550218340611,0.7095435684647303,0.7748532928575766,0.7094735548620875
7,auto,10,3,uniform,0.74617903930131,0.6763485477178424,0.746251595962516,0.6805671392827356,0.74617903930131,0.6763485477178424,0.7462168613906621,0.6829515606020231,0.7442478235573114,0.679444674678823,0.74617903930131,0.6763485477178424,0.74617903930131,0.6763485477178424,0.744709390713485,0.6762091773460108,0.74617903930131,0.6763485477178424,0.745660961741573,0.6758468143792488
8,ball_tree,5,1,uniform,0.7467248908296943,0.6680497925311203,0.749585298542139,0.6721921045315541,0.7467248908296943,0.6680497925311203,0.7487440021561258,0.6745334113144079,0.743209032879308,0.6711217018925266,0.7467248908296943,0.6680497925311203,0.7467248908296943,0.6680497925311203,0.7437314215771988,0.667906848560011,0.7467248908296943,0.6680497925311203,0.7450920894192422,0.6675351942351269
9,auto,10,3,distance,0.7854803493449781,0.6887966804979253,0.7850679436921737,0.6926092990978487,0.7854803493449781,0.6887966804979253,0.7853879135952117,0.6949694915644679,0.7846119199886264,0.6917046553391353,0.7854803493449781,0.6887966804979253,0.7854803493449781,0.6887966804979253,0.7848001040167503,0.6887109274089382,0.7854803493449781,0.6887966804979253,0.7853944931385027,0.6884322298697304
10,ball_tree,5,3,uniform,0.7478165938864629,0.6763485477178424,0.7507083333844176,0.682843137254902,0.7478165938864629,0.6763485477178424,0.749857821767372,0.6855666748027011,0.7443033770553301,0.6803425887553529,0.7478165938864629,0.6763485477178424,0.7478165938864629,0.6763485477178424,0.7448360275186764,0.675896551724138,0.7478165938864629,0.6763485477178424,0.7461908304131248,0.6752436686221205
11,auto,3,1,uniform,0.7554585152838428,0.6846473029045643,0.756083503401977,0.6870506084070797,0.7554585152838428,0.6846473029045643,0.7558206579317337,0.6891334731759263,0.7532002996304796,0.6868697333885896,0.7554585152838428,0.6846473029045643,0.7554585152838428,0.6846473029045643,0.753763440860215,0.6846418732782369,0.7554585152838428,0.6846473029045643,0.7547671033478892,0.6845712881359808
12,auto,10,2,uniform,0.7478165938864629,0.6680497925311203,0.7481927027317379,0.6721921045315541,0.7478165938864629,0.6680497925311203,0.7480283833333168,0.6745334113144079,0.7456474132977153,0.6711217018925266,0.7478165938864629,0.6680497925311203,0.7478165938864629,0.6680497925311203,0.746159936658749,0.667906848560011,0.7478165938864629,0.6680497925311203,0.7471673633512778,0.6675351942351269
13,brute,10,2,uniform,0.7478165938864629,0.6680497925311203,0.7481927027317379,0.6721921045315541,0.7478165938864629,0.6680497925311203,0.7480283833333168,0.6745334113144079,0.7456474132977153,0.6711217018925266,0.7478165938864629,0.6680497925311203,0.7478165938864629,0.6680497925311203,0.746159936658749,0.667906848560011,0.7478165938864629,0.6680497925311203,0.7471673633512778,0.6675351942351269
14,ball_tree,5,3,distance,0.7756550218340611,0.7095435684647303,0.7770889990934784,0.7120436946902655,0.7756550218340611,0.7095435684647303,0.7765421433589548,0.714210470752396,0.7731499789135647,0.711838651747479,0.7756550218340611,0.7095435684647303,0.7756550218340611,0.7095435684647303,0.7738648598728697,0.709538567493113,0.7756550218340611,0.7095435684647303,0.7748532928575766,0.7094735548620875
15,auto,3,1,distance,0.7729257641921398,0.7053941908713693,0.7735430201905038,0.7083333333333333,0.7729257641921398,0.7053941908713693,0.7732680051417278,0.7105809128630706,0.7708710907959204,0.7079016438734632,0.7729257641921398,0.7053941908713693,0.7729257641921398,0.7053941908713693,0.771474355514455,0.7053739001670196,0.7729257641921398,0.7053941908713693,0.7723690594938497,0.7052420105887468
16,auto,5,1,uniform,0.75382096069869,0.6763485477178424,0.757531876990005,0.6841494301392993,0.75382096069869,0.6763485477178424,0.7565010669090843,0.6870469007529834,0.7500803434998227,0.680791545793618,0.75382096069869,0.6763485477178424,0.75382096069869,0.6763485477178424,0.7506373410797148,0.6756728778467909,0.75382096069869,0.6763485477178424,0.7520215235227474,0.6748743589082755
17,auto,3,3,distance,0.7729257641921398,0.7012448132780082,0.7733903696391358,0.7056922435362802,0.7729257641921398,0.7012448132780082,0.7731748310297045,0.7082060084648688,0.7709786136953112,0.7044135930377124,0.7729257641921398,0.7012448132780082,0.7729257641921398,0.7012448132780082,0.7715532694256099,0.70111616370401,0.7729257641921398,0.7012448132780082,0.7724231604748191,0.700781674811614
18,brute,5,3,distance,0.7816593886462883,0.7178423236514523,0.7833591091865141,0.7224423130386433,0.7816593886462883,0.7178423236514523,0.7827269817128765,0.7250423070400991,0.7790882297071435,0.7210595386103054,0.7816593886462883,0.7178423236514523,0.7816593886462883,0.7178423236514523,0.7798518806922168,0.7177208212760093,0.7816593886462883,0.7178423236514523,0.7808318548841832,0.7174049150998578
19,ball_tree,10,1,distance,0.7887554585152838,0.7178423236514523,0.7883562365081872,0.7203747234513274,0.7887554585152838,0.7178423236514523,0.7886659777205897,0.7225694699445525,0.787894952516693,0.7201616245337754,0.7887554585152838,0.7178423236514523,0.7887554585152838,0.7178423236514523,0.7880855986119144,0.7178374655647384,0.7887554585152838,0.7178423236514523,0.7886709130905867,0.7177743104374564
20,ball_tree,5,2,uniform,0.75,0.6846473029045643,0.7526905019862766,0.6889421740339172,0.75,0.6846473029045643,0.7518779342723005,0.6913697098896383,0.7465995883067653,0.6877676474651195,0.75,0.6846473029045643,0.75,0.6846473029045643,0.7471647580235932,0.6845115061320104,0.75,0.6846473029045643,0.7484800764662561,0.6841584345233704
21,brute,3,2,uniform,0.7554585152838428,0.6970954356846473,0.7564162643446419,0.7009715475364331,0.7554585152838428,0.6970954356846473,0.7560414929730248,0.7033710453494432,0.752985253831698,0.7000276281254316,0.7554585152838428,0.6970954356846473,0.7554585152838428,0.6970954356846473,0.7535789089371842,0.6970119693446999,0.7554585152838428,0.6970954356846473,0.7546361875071795,0.6967407037398708
22,ball_tree,10,2,uniform,0.7494541484716157,0.6929460580912863,0.7498865063266686,0.6984586413725764,0.7494541484716157,0.6929460580912863,0.7496994284086168,0.701112848137642,0.7472620488369008,0.696539577289681,0.7494541484716157,0.6929460580912863,0.7494541484716157,0.6929460580912863,0.7477857831214723,0.6926867934932451,0.7494541484716157,0.6929460580912863,0.7487935205812905,0.6922053020968828
23,kd_tree,3,3,uniform,0.75382096069869,0.6804979253112033,0.7584819110264844,0.6906028368794326,0.75382096069869,0.6804979253112033,0.7572764928382616,0.6938068332303347,0.7497577748016502,0.6856264677441635,0.75382096069869,0.6804979253112033,0.75382096069869,0.6804979253112033,0.7502520204711657,0.6794160836140624,0.75382096069869,0.6804979253112033,0.7517187082359017,0.6784115163238601
24,kd_tree,5,3,uniform,0.7478165938864629,0.6804979253112033,0.7504477538853285,0.6852896129211918,0.7478165938864629,0.6804979253112033,0.7496531082480872,0.687781290478386,0.744410899954721,0.6838306395911038,0.7478165938864629,0.6804979253112033,0.7478165938864629,0.6804979253112033,0.7449565899713975,0.6802997674218279,0.7478165938864629,0.6804979253112033,0.7462833959113763,0.6798704253281811
25,ball_tree,5,2,distance,0.7756550218340611,0.7095435684647303,0.7770889990934784,0.7120436946902655,0.7756550218340611,0.7095435684647303,0.7765421433589548,0.714210470752396,0.7731499789135647,0.711838651747479,0.7756550218340611,0.7095435684647303,0.7756550218340611,0.7095435684647303,0.7738648598728697,0.709538567493113,0.7756550218340611,0.7095435684647303,0.7748532928575766,0.7094735548620875
26,ball_tree,3,3,uniform,0.75382096069869,0.6804979253112033,0.7586501336501337,0.6906028368794326,0.75382096069869,0.6804979253112033,0.757415401929594,0.6938068332303347,0.7497040133519548,0.6856264677441635,0.75382096069869,0.6804979253112033,0.75382096069869,0.6804979253112033,0.7501855696785041,0.6794160836140624,0.75382096069869,0.6804979253112033,0.7516660456595753,0.6784115163238601
27,auto,3,2,distance,0.7729257641921398,0.7095435684647303,0.7740663958164657,0.712993762993763,0.7729257641921398,0.7095435684647303,0.7736121619837695,0.7153544224083643,0.7705485220977479,0.7122876087857439,0.7729257641921398,0.7095435684647303,0.7729257641921398,0.7095435684647303,0.7712241013910652,0.7094985535197686,0.7729257641921398,0.7095435684647303,0.7721934029866139,0.7093034887582678
28,auto,10,1,distance,0.7854803493449781,0.6887966804979253,0.7850679436921737,0.6916528239202657,0.7854803493449781,0.6887966804979253,0.7853879135952117,0.6938369335961732,0.7846119199886264,0.6912556983008702,0.7854803493449781,0.6887966804979253,0.7854803493449781,0.6887966804979253,0.7848001040167503,0.6887752466553024,0.7854803493449781,0.6887966804979253,0.7853944931385027,0.6886359266782538
29,brute,10,2,distance,0.7854803493449781,0.6846473029045643,0.7853583339331558,0.6889421740339172,0.7854803493449781,0.6846473029045643,0.785432532494399,0.6913697098896383,0.7841818283910632,0.6877676474651195,0.7854803493449781,0.6846473029045643,0.7854803493449781,0.6846473029045643,0.7845713859972119,0.6845115061320104,0.7854803493449781,0.6846473029045643,0.7852588372686318,0.6841584345233704
30,brute,10,3,distance,0.7854803493449781,0.6887966804979253,0.7850679436921737,0.6926092990978487,0.7854803493449781,0.6887966804979253,0.7853879135952117,0.6949694915644679,0.7846119199886264,0.6917046553391353,0.7854803493449781,0.6887966804979253,0.7854803493449781,0.6887966804979253,0.7848001040167503,0.6887109274089382,0.7854803493449781,0.6887966804979253,0.7853944931385027,0.6884322298697304
31,ball_tree,3,3,distance,0.7707423580786026,0.6970954356846473,0.7747571503179627,0.7060939483707152,0.7707423580786026,0.6970954356846473,0.7736208883634268,0.7092555879631174,0.767123320402709,0.7018234562784915,0.7707423580786026,0.6970954356846473,0.7707423580786026,0.6970954356846473,0.7678639525397875,0.6963425790082332,0.7707423580786026,0.6970954356846473,0.7691338373363236,0.695526984275451
32,auto,5,3,distance,0.7816593886462883,0.7178423236514523,0.7833591091865141,0.7224423130386433,0.7816593886462883,0.7178423236514523,0.7827269817128765,0.7250423070400991,0.7790882297071435,0.7210595386103054,0.7816593886462883,0.7178423236514523,0.7816593886462883,0.7178423236514523,0.7798518806922168,0.7177208212760093,0.7816593886462883,0.7178423236514523,0.7808318548841832,0.7174049150998578
33,kd_tree,5,1,distance,0.7756550218340611,0.6970954356846473,0.7770889990934784,0.6999930786267996,0.7756550218340611,0.6970954356846473,0.7765421433589548,0.7022089232296218,0.7731499789135647,0.6995786710871668,0.7756550218340611,0.6970954356846473,0.7756550218340611,0.6970954356846473,0.7738648598728697,0.6970745734111611,0.7756550218340611,0.6970954356846473,0.7748532928575766,0.6969389686335004
34,brute,10,1,uniform,0.7418122270742358,0.6597510373443983,0.741784173216212,0.6628898128898129,0.7418122270742358,0.6597510373443983,0.7417978952119846,0.6650373961577281,0.7399242083029183,0.6623497720679652,0.7418122270742358,0.6597510373443983,0.7418122270742358,0.6597510373443983,0.7403602445576045,0.6596983055517289,0.7418122270742358,0.6597510373443983,0.7413141016853185,0.659469801116828
35,kd_tree,3,1,uniform,0.7527292576419214,0.6887966804979253,0.756864553939657,0.6936786410470621,0.7527292576419214,0.6887966804979253,0.7557568852884778,0.6962172605326131,0.7488247149747143,0.6921536123774001,0.7527292576419214,0.6887966804979253,0.7527292576419214,0.6887966804979253,0.7493408802258027,0.6886036695667155,0.7527292576419214,0.6887966804979253,0.7507725889931768,0.6881854792157608
36,kd_tree,3,3,distance,0.7707423580786026,0.6970954356846473,0.7747571503179627,0.7060939483707152,0.7707423580786026,0.6970954356846473,0.7736208883634268,0.7092555879631174,0.767123320402709,0.7018234562784915,0.7707423580786026,0.6970954356846473,0.7707423580786026,0.6970954356846473,0.7678639525397875,0.6963425790082332,0.7707423580786026,0.6970954356846473,0.7691338373363236,0.695526984275451
37,ball_tree,3,1,uniform,0.7527292576419214,0.6887966804979253,0.7570233387150129,0.6936786410470621,0.7527292576419214,0.6887966804979253,0.7558866701956651,0.6962172605326131,0.7487709535250188,0.6921536123774001,0.7527292576419214,0.6887966804979253,0.7527292576419214,0.6887966804979253,0.7492760571830989,0.6886036695667155,0.7527292576419214,0.6887966804979253,0.7507215829565594,0.6881854792157608
38,ball_tree,3,2,uniform,0.7532751091703057,0.6929460580912863,0.7576693442329421,0.7011045448149711,0.7532751091703057,0.6929460580912863,0.75651296658488,0.7041348398837683,0.7492912448881821,0.6974374913662108,0.7532751091703057,0.6929460580912863,0.7532751091703057,0.6929460580912863,0.7497969523514851,0.6923050379572119,0.7532751091703057,0.6929460580912863,0.751246184359327,0.6915474687078511
39,brute,10,1,distance,0.7854803493449781,0.6887966804979253,0.7850679436921737,0.6916528239202657,0.7854803493449781,0.6887966804979253,0.7853879135952117,0.6938369335961732,0.7846119199886264,0.6912556983008702,0.7854803493449781,0.6887966804979253,0.7854803493449781,0.6887966804979253,0.7848001040167503,0.6887752466553024,0.7854803493449781,0.6887966804979253,0.7853944931385027,0.6886359266782538
40,ball_tree,10,1,uniform,0.7407205240174672,0.6721991701244814,0.7404903846153846,0.6749723145071982,0.7407205240174672,0.6721991701244814,0.7406136735807861,0.677092954329276,0.7390449099256777,0.6746097527282774,0.7407205240174672,0.6721991701244814,0.7407205240174672,0.6721991701244814,0.7394285454201917,0.6721765931435852,0.7407205240174672,0.6721991701244814,0.7403299258368956,0.6720298427677607
41,kd_tree,10,1,distance,0.7887554585152838,0.7178423236514523,0.7883562365081872,0.7203747234513274,0.7887554585152838,0.7178423236514523,0.7886659777205897,0.7225694699445525,0.787894952516693,0.7201616245337754,0.7887554585152838,0.7178423236514523,0.7887554585152838,0.7178423236514523,0.7880855986119144,0.7178374655647384,0.7887554585152838,0.7178423236514523,0.7886709130905867,0.7177743104374564
42,kd_tree,10,3,distance,0.7887554585152838,0.7178423236514523,0.7883562365081872,0.7213444213444213,0.7887554585152838,0.7178423236514523,0.7886659777205897,0.7237405934501371,0.787894952516693,0.7206105815720403,0.7887554585152838,0.7178423236514523,0.7887554585152838,0.7178423236514523,0.7880855986119144,0.7177985948477752,0.7887554585152838,0.7178423236514523,0.7886709130905867,0.7176091033651745
