,algorithm,n_neighbors,p,weights,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,kd_tree,3,1,distance,0.7931290950947406,0.7301587301587301,0.7928319645167266,0.7299511874568192,0.7931290950947406,0.7301587301587301,0.7933381362694417,0.7302654664054272,0.793128510165132,0.7300683492195117,0.7931290950947406,0.7301587301587301,0.7931290950947406,0.7301587301587301,0.7929279491668448,0.7299907388351512,0.7931290950947406,0.7301587301587301,0.7931814387509771,0.7301930920203713
1,auto,5,3,uniform,0.7715955374535152,0.7310090702947846,0.7716134926545314,0.731377387215709,0.7715955374535152,0.7310090702947846,0.7716038592157666,0.7312454899399726,0.7705752657677074,0.7299562512243127,0.7715955374535152,0.7310090702947846,0.7715955374535152,0.7310090702947846,0.7708707579042038,0.7301331097065116,0.7715955374535152,0.7310090702947846,0.7713769169219533,0.7305950590714714
2,auto,3,2,uniform,0.7737205595891624,0.721655328798186,0.7734275707236432,0.7214789205577614,0.7737205595891624,0.721655328798186,0.7736546319758171,0.7215794542861753,0.7731466221569024,0.721062875556429,0.7737205595891624,0.721655328798186,0.7737205595891624,0.721655328798186,0.7732618302743145,0.7211778260585436,0.7737205595891624,0.721655328798186,0.7736624057153904,0.7215245061297908
3,kd_tree,3,2,distance,0.7931290950947406,0.7267573696145124,0.7928319645167266,0.7265716338434289,0.7931290950947406,0.7267573696145124,0.7933381362694417,0.7269110819767884,0.793128510165132,0.7267150591192282,0.7931290950947406,0.7267573696145124,0.7931290950947406,0.7267573696145124,0.7929279491668448,0.7266096787314531,0.7931290950947406,0.7267573696145124,0.7931814387509771,0.7268005962144324
4,brute,3,1,uniform,0.7744289003010448,0.7225056689342404,0.7741524213196553,0.7223805433348425,0.7744289003010448,0.7225056689342404,0.7743597338215896,0.7224455595776669,0.77382261952803,0.7218372684500916,0.7744289003010448,0.7225056689342404,0.7744289003010448,0.7225056689342404,0.7739541234258449,0.7219690086558066,0.7744289003010448,0.7225056689342404,0.7743610226179598,0.7223360150397677
5,kd_tree,10,1,uniform,0.7695767664246502,0.7397959183673469,0.7695329843667487,0.7398404265746603,0.7695767664246502,0.7397959183673469,0.7702799736315633,0.7403122135721827,0.7699480105000527,0.7400552030356845,0.7695767664246502,0.7397959183673469,0.7695767664246502,0.7397959183673469,0.7694771308030195,0.7397477435778754,0.7695767664246502,0.7397959183673469,0.7696653691409897,0.7398541295712916
6,kd_tree,5,2,distance,0.8037542057729768,0.7400793650793651,0.8034660246080632,0.7398726851851851,0.8037542057729768,0.7400793650793651,0.8039693205322983,0.7401769639182832,0.8037811836897338,0.73998942386777,0.8037542057729768,0.7400793650793651,0.8037542057729768,0.7400793650793651,0.8035668478032392,0.7399138490390963,0.8037542057729768,0.7400793650793651,0.8038051276064948,0.7401109805027873
7,auto,10,3,uniform,0.764512130334691,0.735827664399093,0.7644340575039674,0.7357047792204621,0.764512130334691,0.735827664399093,0.7651616438003745,0.7360878918361939,0.7648379314883467,0.7358958366772417,0.764512130334691,0.735827664399093,0.764512130334691,0.735827664399093,0.7644007175263174,0.7357236251358716,0.764512130334691,0.735827664399093,0.7646019501069139,0.7358811703058925
8,ball_tree,5,1,uniform,0.7734372233044094,0.7276077097505669,0.7732702890609385,0.7274752006065585,0.7734372233044094,0.7276077097505669,0.7733760172596874,0.7275468637150528,0.7726399294105596,0.7269780149616245,0.7734372233044094,0.7276077097505669,0.7734372233044094,0.7276077097505669,0.7728545830731297,0.7271078043168604,0.7734372233044094,0.7276077097505669,0.7733064348329123,0.7274587313100583
9,auto,10,3,distance,0.8133876394545777,0.7505668934240363,0.8138436661578707,0.7506304539043149,0.8133876394545777,0.7505668934240363,0.8148372488964799,0.7511116975407109,0.8142264363098626,0.7508529579878587,0.8133876394545777,0.7505668934240363,0.8133876394545777,0.7505668934240363,0.8133665698510545,0.7505244816494904,0.8133876394545777,0.7505668934240363,0.8134444571520786,0.7506222131299658
10,ball_tree,5,3,uniform,0.769222596068709,0.7244897959183674,0.7690688511412354,0.7244183927105328,0.769222596068709,0.7244897959183674,0.7691631038358558,0.7244531117014982,0.768378386122647,0.7237635205139331,0.769222596068709,0.7244897959183674,0.769222596068709,0.7244897959183674,0.7686047369454665,0.7239076561888613,0.769222596068709,0.7244897959183674,0.7690743776361286,0.7242885624316244
11,auto,3,1,uniform,0.7744289003010448,0.7225056689342404,0.7741524213196553,0.7223805433348425,0.7744289003010448,0.7225056689342404,0.7743597338215896,0.7224455595776669,0.77382261952803,0.7218372684500916,0.7744289003010448,0.7225056689342404,0.7744289003010448,0.7225056689342404,0.7739541234258449,0.7219690086558066,0.7744289003010448,0.7225056689342404,0.7743610226179598,0.7223360150397677
12,auto,10,2,uniform,0.7666017354347441,0.7400793650793651,0.7664015460116358,0.7398726851851851,0.7666017354347441,0.7400793650793651,0.7670450534615697,0.7401769639182832,0.7667733289320462,0.73998942386777,0.7666017354347441,0.7400793650793651,0.7666017354347441,0.7400793650793651,0.7664468969618642,0.7399138490390963,0.7666017354347441,0.7400793650793651,0.7666830948524058,0.7401109805027873
13,brute,10,2,uniform,0.7666017354347441,0.7400793650793651,0.7664015460116358,0.7398726851851851,0.7666017354347441,0.7400793650793651,0.7670450534615697,0.7401769639182832,0.7667733289320462,0.73998942386777,0.7666017354347441,0.7400793650793651,0.7666017354347441,0.7400793650793651,0.7664468969618642,0.7399138490390963,0.7666017354347441,0.7400793650793651,0.7666830948524058,0.7401109805027873
14,ball_tree,5,3,distance,0.8037542057729768,0.7392290249433107,0.8034660246080632,0.7390013284363524,0.8037542057729768,0.7392290249433107,0.8039693205322983,0.7392695043223255,0.8037811836897338,0.7390615998587275,0.8037542057729768,0.7392290249433107,0.8037542057729768,0.7392290249433107,0.8035668478032392,0.7390276573950043,0.8037542057729768,0.7392290249433107,0.8038051276064948,0.7392454631105193
