,algorithm,n_neighbors,p,weights,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,kd_tree,3,1,distance,0.7661538461538462,0.627906976744186,0.7666666666666666,0.6333333333333333,0.7661538461538462,0.627906976744186,0.7664820512820514,0.6341085271317829,0.7652922004093079,0.6298701298701299,0.7661538461538462,0.627906976744186,0.7661538461538462,0.627906976744186,0.7655122655122655,0.6260869565217391,0.7661538461538462,0.627906976744186,0.7658519258519257,0.6254802831142569
1,auto,5,3,uniform,0.7292307692307692,0.6744186046511628,0.7295238095238095,0.6811111111111111,0.7292307692307692,0.6744186046511628,0.729418315018315,0.6820671834625324,0.7283407867808687,0.6764069264069263,0.7292307692307692,0.6744186046511628,0.7292307692307692,0.6744186046511628,0.7284878863826232,0.6728260869565217,0.7292307692307692,0.6744186046511628,0.7288811773022299,0.6722952477249747
2,auto,3,2,uniform,0.7538461538461538,0.6744186046511628,0.7561764026783653,0.6898148148148149,0.7538461538461538,0.6744186046511628,0.7556648846420262,0.6912144702842377,0.7522928825892519,0.6774891774891775,0.7538461538461538,0.6744186046511628,0.7538461538461538,0.6744186046511628,0.7523809523809524,0.6699561403508771,0.7538461538461538,0.6744186046511628,0.7529084249084249,0.66906364749082
3,kd_tree,3,2,distance,0.7661538461538462,0.627906976744186,0.7666666666666666,0.6333333333333333,0.7661538461538462,0.627906976744186,0.7664820512820514,0.6341085271317829,0.7652922004093079,0.6298701298701299,0.7661538461538462,0.627906976744186,0.7661538461538462,0.627906976744186,0.7655122655122655,0.6260869565217391,0.7661538461538462,0.627906976744186,0.7658519258519257,0.6254802831142569
4,brute,3,1,uniform,0.7538461538461538,0.6744186046511628,0.7568532818532818,0.6898148148148149,0.7538461538461538,0.6744186046511628,0.7562518562518562,0.6912144702842377,0.7521223376032744,0.6774891774891775,0.7538461538461538,0.6744186046511628,0.7538461538461538,0.6744186046511628,0.7521354484441733,0.6699561403508771,0.7538461538461538,0.6744186046511628,0.7527056835781668,0.66906364749082
5,kd_tree,10,1,uniform,0.7076923076923077,0.7441860465116279,0.7074952561669829,0.7579185520361991,0.7076923076923077,0.7441860465116279,0.7076134870821779,0.7594443859833737,0.7072121579625559,0.7467532467532467,0.7076923076923077,0.7441860465116279,0.7076923076923077,0.7441860465116279,0.7072932566054551,0.7419530823786142,0.7076923076923077,0.7441860465116279,0.7075925449205946,0.7413948413453609
6,kd_tree,5,2,distance,0.7630769230769231,0.627906976744186,0.7666511951728939,0.6400462962962963,0.7630769230769231,0.627906976744186,0.7659667600906866,0.6411498708010336,0.7612749185173956,0.6309523809523809,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7613052145630049,0.6228070175438596,0.7630769230769231,0.627906976744186,0.7618746922996215,0.6217870257037944
7,auto,10,3,uniform,0.7076923076923077,0.7674418604651163,0.7082354278784204,0.7695652173913043,0.7076923076923077,0.7674418604651163,0.7087785480645331,0.770273003033367,0.7082354278784204,0.7683982683982684,0.7076923076923077,0.7674418604651163,0.7076923076923077,0.7674418604651163,0.7076923076923077,0.7673160173160173,0.7076923076923077,0.7674418604651163,0.7076923076923077,0.7671901741669183
8,ball_tree,5,1,uniform,0.7261538461538461,0.7209302325581395,0.7283186864014801,0.7561576354679802,0.7261538461538461,0.7209302325581395,0.7278655803031381,0.758506128995303,0.7244940498749337,0.725108225108225,0.7261538461538461,0.7209302325581395,0.7261538461538461,0.7209302325581395,0.724389941781246,0.7133333333333334,0.7261538461538461,0.7209302325581395,0.7250005240640692,0.7122480620155038
9,auto,10,3,distance,0.7630769230769231,0.6744186046511628,0.7631220177232447,0.6760869565217391,0.7630769230769231,0.6744186046511628,0.7635278695401395,0.6766430738119312,0.7633214583491246,0.6753246753246753,0.7630769230769231,0.6744186046511628,0.7630769230769231,0.6744186046511628,0.7630410287002054,0.6742424242424242,0.7630769230769231,0.6744186046511628,0.7631217910478201,0.6740662438336856
10,ball_tree,5,3,uniform,0.7323076923076923,0.6744186046511628,0.7352247234470488,0.6898148148148149,0.7323076923076923,0.6744186046511628,0.7346661430161082,0.6912144702842377,0.7304820738270295,0.6774891774891775,0.7323076923076923,0.6744186046511628,0.7323076923076923,0.6744186046511628,0.7303058917789795,0.6699561403508771,0.7323076923076923,0.6744186046511628,0.7309493276632086,0.66906364749082
11,auto,3,1,uniform,0.7538461538461538,0.6744186046511628,0.7568532818532818,0.6898148148148149,0.7538461538461538,0.6744186046511628,0.7562518562518562,0.6912144702842377,0.7521223376032744,0.6774891774891775,0.7538461538461538,0.6744186046511628,0.7538461538461538,0.6744186046511628,0.7521354484441733,0.6699561403508771,0.7538461538461538,0.6744186046511628,0.7527056835781668,0.66906364749082
12,auto,10,2,uniform,0.7046153846153846,0.7674418604651163,0.7053192296026691,0.7695652173913043,0.7046153846153846,0.7674418604651163,0.7058951027740836,0.770273003033367,0.7052414159023725,0.7683982683982684,0.7046153846153846,0.7674418604651163,0.7046153846153846,0.7674418604651163,0.7046125880481708,0.7673160173160173,0.7046153846153846,0.7674418604651163,0.7045874189432472,0.7671901741669183
13,brute,10,2,uniform,0.7046153846153846,0.7674418604651163,0.7053192296026691,0.7695652173913043,0.7046153846153846,0.7674418604651163,0.7058951027740836,0.770273003033367,0.7052414159023725,0.7683982683982684,0.7046153846153846,0.7674418604651163,0.7046153846153846,0.7674418604651163,0.7046125880481708,0.7673160173160173,0.7046153846153846,0.7674418604651163,0.7045874189432472,0.7671901741669183
14,ball_tree,5,3,distance,0.7630769230769231,0.6046511627906976,0.7666511951728939,0.6119909502262444,0.7630769230769231,0.6046511627906976,0.7659667600906866,0.6128064821635273,0.7612749185173956,0.6071428571428572,0.7630769230769231,0.6046511627906976,0.7630769230769231,0.6046511627906976,0.7613052145630049,0.6012002182214948,0.7630769230769231,0.6046511627906976,0.7618746922996215,0.6003374820791941
15,auto,3,1,distance,0.7661538461538462,0.627906976744186,0.7666666666666666,0.6333333333333333,0.7661538461538462,0.627906976744186,0.7664820512820514,0.6341085271317829,0.7652922004093079,0.6298701298701299,0.7661538461538462,0.627906976744186,0.7661538461538462,0.627906976744186,0.7655122655122655,0.6260869565217391,0.7661538461538462,0.627906976744186,0.7658519258519257,0.6254802831142569
