,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,random_state,solver,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,logistic,0.01,32,constant,200,23,adam,0.7434497816593887,0.7053941908713693,0.7430143748919349,0.7045893719806764,0.7434497816593887,0.7053941908713693,0.7439473893936215,0.705540521578768,0.7434742560311387,0.7047589446056085,0.7434497816593887,0.7053941908713693,0.7434497816593887,0.7053941908713693,0.7431163757045325,0.7046619604052677,0.7434497816593887,0.7053941908713693,0.7435710201884272,0.7054552100768777
1,identity,0.001,64,adaptive,100,23,adam,0.7456331877729258,0.7219917012448133,0.7618490418069672,0.7243206715037701,0.7456331877729258,0.7219917012448133,0.7657099594341199,0.7236165642161785,0.7513078966012012,0.7178132338720817,0.7456331877729258,0.7219917012448133,0.7456331877729258,0.7219917012448133,0.7440518448874647,0.7181876887097056,0.7456331877729258,0.7219917012448133,0.7430635055840515,0.7199538373867198
2,identity,0.001,32,invscaling,100,23,adam,0.7483624454148472,0.7344398340248963,0.7593392247439245,0.7358583721258287,0.7483624454148472,0.7344398340248963,0.7626322585426477,0.7353599668471228,0.752995408772196,0.7309711286089239,0.7483624454148472,0.7344398340248963,0.7483624454148472,0.7344398340248963,0.7475331064011439,0.7315510999721526,0.7483624454148472,0.7344398340248963,0.7468222443893981,0.7330532416795793
3,relu,0.001,32,invscaling,200,23,adam,0.7570960698689956,0.6846473029045643,0.7778334351997024,0.7167824074074074,0.7570960698689956,0.6846473029045643,0.7746593486694922,0.7220704625787614,0.7498151203479919,0.6940530460008288,0.7570960698689956,0.6846473029045643,0.7570960698689956,0.6846473029045643,0.748483865902077,0.678621560920831,0.7570960698689956,0.6846473029045643,0.7507702917340022,0.6762477837757239
4,logistic,0.01,32,invscaling,200,23,adam,0.7434497816593887,0.7053941908713693,0.7430143748919349,0.7045893719806764,0.7434497816593887,0.7053941908713693,0.7439473893936215,0.705540521578768,0.7434742560311387,0.7047589446056085,0.7434497816593887,0.7053941908713693,0.7434497816593887,0.7053941908713693,0.7431163757045325,0.7046619604052677,0.7434497816593887,0.7053941908713693,0.7435710201884272,0.7054552100768777
5,tanh,0.001,64,constant,100,23,adam,0.7456331877729258,0.7219917012448133,0.7618490418069672,0.7243206715037701,0.7456331877729258,0.7219917012448133,0.7657099594341199,0.7236165642161785,0.7513078966012012,0.7178132338720817,0.7456331877729258,0.7219917012448133,0.7456331877729258,0.7219917012448133,0.7440518448874647,0.7181876887097056,0.7456331877729258,0.7219917012448133,0.7430635055840515,0.7199538373867198
6,tanh,0.001,32,constant,100,23,adam,0.7445414847161572,0.7344398340248963,0.7578504494167144,0.7358583721258287,0.7445414847161572,0.7344398340248963,0.7613942565855019,0.7353599668471228,0.7496759379282248,0.7309711286089239,0.7445414847161572,0.7344398340248963,0.7445414847161572,0.7344398340248963,0.7433657562391345,0.7315510999721526,0.7445414847161572,0.7344398340248963,0.7425124049251665,0.7330532416795793
7,tanh,0.01,64,constant,200,23,adam,0.7581877729257642,0.7344398340248963,0.7607886637660766,0.7337001661129567,0.7581877729257642,0.7344398340248963,0.7628065963145947,0.7342657945162046,0.7603714796704064,0.7332159138002486,0.7581877729257642,0.7344398340248963,0.7581877729257642,0.7344398340248963,0.7581755960495284,0.7334070796460177,0.7581877729257642,0.7344398340248963,0.7580912945986651,0.7343021334410458
8,logistic,0.01,64,invscaling,200,23,adam,0.7412663755458515,0.7136929460580913,0.7438602160189092,0.7133491421397684,0.7412663755458515,0.7136929460580913,0.7458385689220887,0.7135146773597016,0.7434360256669108,0.7112860892388451,0.7412663755458515,0.7136929460580913,0.7412663755458515,0.7136929460580913,0.7412512648881355,0.7117074946689551,0.7412663755458515,0.7136929460580913,0.7411541249456762,0.7129980380718937
9,identity,0.01,32,adaptive,100,23,adam,0.7407205240174672,0.7302904564315352,0.7551277478039862,0.7320014144271569,0.7407205240174672,0.7302904564315352,0.7587700234803535,0.7314310950952831,0.7460876598357766,0.7265851636966432,0.7407205240174672,0.7302904564315352,0.7407205240174672,0.7302904564315352,0.7393467493975652,0.727114362860378,0.7407205240174672,0.7302904564315352,0.7384171274743231,0.7287024096459566
10,logistic,0.001,32,constant,100,23,adam,0.7347161572052402,0.6721991701244814,0.7340719890516402,0.673448275862069,0.7347161572052402,0.6721991701244814,0.7346635720498442,0.675252539705251,0.7339668423272256,0.6737118386517474,0.7347161572052402,0.6721991701244814,0.7347161572052402,0.6721991701244814,0.7340158953787251,0.6721765931435852,0.7347161572052402,0.6721991701244814,0.7346863588296437,0.6723233435194098
11,logistic,0.001,64,adaptive,100,23,adam,0.740174672489083,0.7053941908713693,0.7424774939537364,0.7117051013277429,0.740174672489083,0.7053941908713693,0.7417725486074139,0.7145341301530137,0.7368042521722613,0.709248514988258,0.740174672489083,0.7053941908713693,0.740174672489083,0.7053941908713693,0.7372891159741637,0.7050692038540427,0.740174672489083,0.7053941908713693,0.7386417205905321,0.7045410999508871
12,tanh,0.001,64,invscaling,100,23,adam,0.7456331877729258,0.7219917012448133,0.7618490418069672,0.7243206715037701,0.7456331877729258,0.7219917012448133,0.7657099594341199,0.7236165642161785,0.7513078966012012,0.7178132338720817,0.7456331877729258,0.7219917012448133,0.7456331877729258,0.7219917012448133,0.7440518448874647,0.7181876887097056,0.7456331877729258,0.7219917012448133,0.7430635055840515,0.7199538373867198
