,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,random_state,solver,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,relu,0.01,100,constant,100,23,adam,0.7898707278200815,0.7908163265306123,0.7899871523635472,0.790931050950844,0.7898707278200815,0.7908163265306123,0.7899246875262451,0.7908720179967441,0.7888786932237788,0.7902011234245567,0.7898707278200815,0.7908163265306123,0.7898707278200815,0.7908163265306123,0.7892039396256227,0.7904065285682822,0.7898707278200815,0.7908163265306123,0.7896695996430376,0.7906849810298655
1,relu,0.0001,100,invscaling,500,23,lbfgs,0.8085709226137773,0.786281179138322,0.8082582937328223,0.7860957391983401,0.8085709226137773,0.786281179138322,0.8086527253926393,0.7863765482503126,0.8084353673727942,0.7862415070087784,0.8085709226137773,0.786281179138322,0.8085709226137773,0.786281179138322,0.8083333788291422,0.7861481271866639,0.8085709226137773,0.786281179138322,0.808598405043589,0.7863083943102521
2,logistic,0.0001,500,adaptive,500,23,adam,0.7958562068354879,0.7882653061224489,0.7975081352840953,0.7896991959771585,0.7958562068354879,0.7882653061224489,0.796941482438594,0.7892722512451382,0.7940611605029753,0.7870085017564163,0.7958562068354879,0.7882653061224489,0.7958562068354879,0.7882653061224489,0.7946421040127012,0.7873536633099669,0.7958562068354879,0.7882653061224489,0.7952622974859719,0.7877719929122314
3,relu,0.01,20,adaptive,200,23,sgd,0.7545953603683372,0.7551020408163265,0.7542201118070571,0.7548807660104726,0.7545953603683372,0.7551020408163265,0.7545660392006228,0.7551020408163265,0.7541507020511171,0.7548807660104726,0.7545953603683372,0.7551020408163265,0.7545953603683372,0.7551020408163265,0.754183308912972,0.7548807660104726,0.7545953603683372,0.7551020408163265,0.7545786074112418,0.7551020408163265
4,relu,0.001,500,invscaling,200,23,lbfgs,0.8032937843102532,0.7834467120181405,0.8029815736078911,0.7832570412170451,0.8032937843102532,0.7834467120181405,0.8033141784771702,0.7834334017864848,0.8030372227556993,0.7832169519188057,0.8032937843102532,0.7834467120181405,0.8032937843102532,0.7834467120181405,0.8030082295345725,0.7832359873399276,0.8032937843102532,0.7834467120181405,0.8033028158101351,0.7834390493025692
5,identity,0.001,20,constant,200,23,sgd,0.7496015583495661,0.7531179138321995,0.7492422141488173,0.7529023261081931,0.7496015583495661,0.7531179138321995,0.7495250478738921,0.753086618840005,0.7490056801849859,0.75281813073296,0.7496015583495661,0.7531179138321995,0.7496015583495661,0.7531179138321995,0.7491027061940981,0.752855316808325,0.7496015583495661,0.7531179138321995,0.7495421240180966,0.7530973627607659
6,identity,0.0001,20,invscaling,500,23,adam,0.766849654683903,0.7706916099773242,0.7729114126044097,0.7777749773162617,0.766849654683903,0.7706916099773242,0.7749405371241324,0.7793523658413193,0.7695698703718846,0.7729648906505768,0.766849654683903,0.7706916099773242,0.766849654683903,0.7706916099773242,0.7664939531513373,0.7700593407048457,0.766849654683903,0.7706916099773242,0.76613599217165,0.7696970675000744
7,tanh,0.001,500,invscaling,200,23,lbfgs,0.7845581724809634,0.7916666666666666,0.7846665342020802,0.7918042744656918,0.7845581724809634,0.7916666666666666,0.7854953145380709,0.792325218276287,0.7850988547849443,0.7920495341258784,0.7845581724809634,0.7916666666666666,0.7845581724809634,0.7916666666666666,0.7844953702463435,0.7916412051717991,0.7845581724809634,0.7916666666666666,0.7846398675040062,0.7917104082091314
8,logistic,0.0001,100,invscaling,500,23,adam,0.7990791570745529,0.7899659863945578,0.8026997273148123,0.7941456392184238,0.7990791570745529,0.7899659863945578,0.804441684970538,0.7954487074517468,0.8011469768971022,0.7916770535564657,0.7990791570745529,0.7899659863945578,0.7990791570745529,0.7899659863945578,0.7989889902803602,0.7897347362020479,0.7990791570745529,0.7899659863945578,0.7988217746035047,0.7895252274806286
9,logistic,0.01,500,constant,100,23,sgd,0.6615548078625819,0.6590136054421769,0.6633495425544083,0.6615556777914628,0.6615548078625819,0.6590136054421769,0.6629599632290538,0.6611319990665818,0.6582453910106164,0.6564466640312112,0.6615548078625819,0.6590136054421769,0.6615548078625819,0.6590136054421769,0.6574009462954997,0.6552006910635453,0.6615548078625819,0.6590136054421769,0.6588826550371832,0.6562900951717257
10,logistic,0.001,100,invscaling,100,23,sgd,0.51963874623694,0.5150226757369615,0.25981937311847,0.25751133786848074,0.51963874623694,0.5150226757369615,0.2700244265906989,0.26524835652325934,0.5,0.5,0.51963874623694,0.5150226757369615,0.51963874623694,0.5150226757369615,0.3419488661523761,0.33994387277829746,0.51963874623694,0.5150226757369615,0.3553797601691278,0.350157605917328
11,tanh,0.0001,100,constant,100,23,adam,0.7930936780591464,0.7859977324263039,0.7990458265242737,0.7909435808440719,0.7930936780591464,0.7859977324263039,0.7977301134192655,0.7900074023935658,0.7900515917036784,0.7838694362323236,0.7930936780591464,0.7859977324263039,0.7930936780591464,0.7859977324263039,0.7906297192409963,0.7840740375951644,0.7930936780591464,0.7859977324263039,0.791521828391936,0.7846863848987703
12,logistic,0.001,500,invscaling,500,23,lbfgs,0.7937666017354348,0.7902494331065759,0.7934387881541336,0.7900569611400587,0.7937666017354348,0.7902494331065759,0.7938431766543148,0.7903057663650688,0.7935942398457025,0.7901622027432968,0.7937666017354348,0.7902494331065759,0.7937666017354348,0.7902494331065759,0.7935055056754705,0.7901004249253977,0.7937666017354348,0.7902494331065759,0.7937939075982796,0.7902684554275774
13,identity,0.001,500,adaptive,500,23,sgd,0.767735080573756,0.770124716553288,0.7680832195590614,0.7703294496819004,0.767735080573756,0.770124716553288,0.7679278529052571,0.7702374932766761,0.7664176565542393,0.7693629585121621,0.767735080573756,0.770124716553288,0.767735080573756,0.770124716553288,0.7667904392915655,0.7695834030935105,0.767735080573756,0.770124716553288,0.767373414907564,0.7699189541270567
14,relu,0.0001,20,invscaling,200,23,adam,0.7936249335930583,0.7908163265306123,0.7947969970490911,0.7921700124999718,0.7936249335930583,0.7908163265306123,0.7960083841625492,0.7930344143840207,0.7948260891597522,0.7917865782834822,0.7936249335930583,0.7908163265306123,0.7936249335930583,0.7908163265306123,0.79362484971916,0.7908011998183495,0.7936249335930583,0.7908163265306123,0.7936300172832265,0.790747752101688
15,identity,0.01,500,constant,500,23,sgd,0.7675579953957854,0.7687074829931972,0.7679345294541593,0.7689424307931244,0.7675579953957854,0.7687074829931972,0.7677684951516794,0.7688395197733217,0.7662193991350674,0.7679188725740111,0.7675579953957854,0.7687074829931972,0.7675579953957854,0.7687074829931972,0.7665967201536275,0.7681435070150158,0.7675579953957854,0.7687074829931972,0.7671850503101136,0.768487078587931
16,logistic,0.0001,500,constant,200,23,lbfgs,0.7751372410129272,0.7743764172335601,0.7751454276324576,0.7746381643206207,0.7751372410129272,0.7743764172335601,0.7751409486186149,0.7745235147700901,0.7741503064659442,0.7735929289163614,0.7751372410129272,0.7743764172335601,0.7751372410129272,0.7743764172335601,0.7744416154902751,0.7738262641960203,0.7751372410129272,0.7743764172335601,0.7749336108376101,0.7741614148970504
17,logistic,0.01,500,adaptive,200,23,adam,0.7486098813529307,0.751984126984127,0.7726672309925116,0.7745218657227677,0.7486098813529307,0.751984126984127,0.7698484670463631,0.7723734841523578,0.7424004932432524,0.7474724877423978,0.7486098813529307,0.751984126984127,0.7486098813529307,0.751984126984127,0.7394752282177004,0.7443669429938282,0.7486098813529307,0.751984126984127,0.741391311124258,0.7456927582696438
18,identity,0.0001,20,invscaling,200,23,adam,0.766849654683903,0.7706916099773242,0.7729114126044097,0.7777749773162617,0.766849654683903,0.7706916099773242,0.7749405371241324,0.7793523658413193,0.7695698703718846,0.7729648906505768,0.766849654683903,0.7706916099773242,0.766849654683903,0.7706916099773242,0.7664939531513373,0.7700593407048457,0.766849654683903,0.7706916099773242,0.76613599217165,0.7696970675000744
19,identity,0.01,100,invscaling,100,23,sgd,0.5443598370816363,0.5354308390022676,0.5907917701987002,0.5733968213562816,0.5443598370816363,0.5354308390022676,0.5885982445830741,0.5720204895746381,0.5280752028519762,0.5230008359905007,0.5443598370816363,0.5354308390022676,0.5443598370816363,0.5354308390022676,0.4378100468248904,0.43039369618006457,0.5443598370816363,0.5354308390022676,0.4474231055130397,0.43774282960524835
20,tanh,0.001,100,invscaling,200,23,adam,0.8067646537984771,0.7828798185941043,0.8068552068933627,0.7828418619262028,0.8067646537984771,0.7828798185941043,0.8068031470788328,0.7828644653351778,0.8058948557726209,0.7823767798572286,0.8067646537984771,0.7828798185941043,0.8067646537984771,0.7828798185941043,0.8062037539485205,0.7825275094917202,0.8067646537984771,0.7828798185941043,0.8066132588422675,0.7827905007934999
21,logistic,0.01,100,constant,500,23,lbfgs,0.8072604922967948,0.7868480725623582,0.806949753521765,0.7866554815276334,0.8072604922967948,0.7868480725623582,0.8072953997619937,0.7868480725623582,0.8070407110410315,0.7866554815276334,0.8072604922967948,0.7868480725623582,0.8072604922967948,0.7868480725623582,0.8069920466512105,0.7866554815276334,0.8072604922967948,0.7868480725623582,0.8072747686084307,0.7868480725623582
22,relu,0.01,500,constant,200,23,adam,0.8025500265627767,0.7922335600907029,0.8024606759645367,0.7923492842157226,0.8025500265627767,0.7922335600907029,0.8031735523202781,0.792860399101226,0.8029206678458642,0.7925998918584046,0.8025500265627767,0.7922335600907029,0.8025500265627767,0.7922335600907029,0.8024535408865734,0.7922054964109175,0.8025500265627767,0.7922335600907029,0.8026250194361079,0.7922780512903626
23,identity,0.0001,20,adaptive,500,23,sgd,0.770674694528068,0.7760770975056689,0.7703264138521634,0.7758733650789056,0.770674694528068,0.7760770975056689,0.7706529085855347,0.7760850870126008,0.7702688128890975,0.7758918223788771,0.770674694528068,0.7760770975056689,0.770674694528068,0.7760770975056689,0.7702962853428713,0.7758823438593602,0.770674694528068,0.7760770975056689,0.770662477128546,0.7760808427680979
24,identity,0.001,500,constant,100,23,lbfgs,0.7697184345670267,0.7712585034013606,0.7693659952620593,0.7710526315789474,0.7697184345670267,0.7712585034013606,0.7697038130573998,0.7712546909602048,0.7693291875484582,0.7710433026353161,0.7697184345670267,0.7712585034013606,0.7697184345670267,0.7712585034013606,0.7693470333860475,0.7710479050222612,0.7697184345670267,0.7712585034013606,0.7697105672869355,0.7712565351922099
25,identity,0.001,20,constant,500,23,lbfgs,0.7758101646892155,0.780045351473923,0.7755118741500233,0.7799457994579946,0.7758101646892155,0.780045351473923,0.7757493502505001,0.7800109384313798,0.7752659275093386,0.7796079432928891,0.7758101646892155,0.780045351473923,0.7758101646892155,0.780045351473923,0.7753691953965942,0.7797275817156695,0.7758101646892155,0.780045351473923,0.7757601106208285,0.7799789518229444
26,tanh,0.01,100,adaptive,500,23,sgd,0.7703559412077209,0.7738095238095238,0.7701588643098305,0.7736856595893356,0.7703559412077209,0.7738095238095238,0.7702864523307065,0.7737687583699682,0.7695803580021694,0.7733835292180127,0.7703559412077209,0.7738095238095238,0.7703559412077209,0.7738095238095238,0.769781005083567,0.7734924404796386,0.7703559412077209,0.7738095238095238,0.7702328861336638,0.7737470680021222
27,tanh,0.0001,20,adaptive,500,23,lbfgs,0.8068709049052595,0.7925170068027211,0.8065573177722798,0.7923277629072318,0.8068709049052595,0.7925170068027211,0.8069640641237119,0.7925849405087941,0.8067494418590702,0.7924488731819459,0.8068709049052595,0.7925170068027211,0.8068709049052595,0.7925170068027211,0.806637010009487,0.79237581924247,0.8068709049052595,0.7925170068027211,0.8069011540414744,0.7925384918662376
28,logistic,0.01,20,adaptive,500,23,adam,0.7878165397556225,0.7939342403628118,0.7880632804493172,0.7943630443630444,0.7878165397556225,0.7939342403628118,0.7879406289794348,0.7941826744264386,0.7867070854008086,0.7931258035431973,0.7878165397556225,0.7939342403628118,0.7878165397556225,0.7939342403628118,0.7870716519873633,0.7934024087329072,0.7878165397556225,0.7939342403628118,0.7875663109903569,0.7937173481338562
29,identity,0.0001,20,adaptive,100,23,adam,0.766849654683903,0.7706916099773242,0.7729114126044097,0.7777749773162617,0.766849654683903,0.7706916099773242,0.7749405371241324,0.7793523658413193,0.7695698703718846,0.7729648906505768,0.766849654683903,0.7706916099773242,0.766849654683903,0.7706916099773242,0.7664939531513373,0.7700593407048457,0.766849654683903,0.7706916099773242,0.76613599217165,0.7696970675000744
30,tanh,0.0001,500,invscaling,100,23,adam,0.795006197981229,0.784297052154195,0.7976805016346546,0.7869512658649457,0.795006197981229,0.784297052154195,0.7968927718201396,0.7863176022312981,0.7928392359947773,0.782661608479176,0.795006197981229,0.784297052154195,0.795006197981229,0.784297052154195,0.7934676053264512,0.7829784582026631,0.795006197981229,0.784297052154195,0.7941677691566311,0.78348671623489
31,tanh,0.001,100,adaptive,200,23,lbfgs,0.7976270586151939,0.7908163265306123,0.7973030258054974,0.7906618010325062,0.7976270586151939,0.7908163265306123,0.7977001002651145,0.7909893950884911,0.7974564818118058,0.7908659915912029,0.7976270586151939,0.7908163265306123,0.7976270586151939,0.7908163265306123,0.7973693146115122,0.790714027345728,0.7976270586151939,0.7908163265306123,0.7976531657536007,0.7908530493149296
32,relu,0.0001,20,adaptive,200,23,sgd,0.7545953603683372,0.7556689342403629,0.754219044490648,0.7554481287963217,0.7545953603683372,0.7556689342403629,0.754570631945035,0.7556775932773842,0.75416184798498,0.7554652195464164,0.7545953603683372,0.7556689342403629,0.7545953603683372,0.7556689342403629,0.7541890017242563,0.7554564308946436,0.7545953603683372,0.7556689342403629,0.7545815555015087,0.7556730208431652
33,logistic,0.01,500,invscaling,100,23,lbfgs,0.7500619798122897,0.7522675736961452,0.7497802810233634,0.7521004168471287,0.7500619798122897,0.7522675736961452,0.7499654641632089,0.7522125600496333,0.7492731524463847,0.7518221151170821,0.7500619798122897,0.7522675736961452,0.7500619798122897,0.7522675736961452,0.7494477412461389,0.7519202919538899,0.7500619798122897,0.7522675736961452,0.7499350020257248,0.7521991697166099
34,logistic,0.001,500,invscaling,500,23,sgd,0.51963874623694,0.5150226757369615,0.25981937311847,0.25751133786848074,0.51963874623694,0.5150226757369615,0.2700244265906989,0.26524835652325934,0.5,0.5,0.51963874623694,0.5150226757369615,0.51963874623694,0.5150226757369615,0.3419488661523761,0.33994387277829746,0.51963874623694,0.5150226757369615,0.3553797601691278,0.350157605917328
35,relu,0.0001,100,constant,500,23,lbfgs,0.8085709226137773,0.786281179138322,0.8082582937328223,0.7860957391983401,0.8085709226137773,0.786281179138322,0.8086527253926393,0.7863765482503126,0.8084353673727942,0.7862415070087784,0.8085709226137773,0.786281179138322,0.8085709226137773,0.786281179138322,0.8083333788291422,0.7861481271866639,0.8085709226137773,0.786281179138322,0.808598405043589,0.7863083943102521
36,identity,0.0001,100,constant,200,23,sgd,0.750132813883478,0.7522675736961452,0.7497467583536602,0.7520483678176888,0.750132813883478,0.7522675736961452,0.7501349139135585,0.752306543630093,0.7497509225496493,0.7521119294461329,0.750132813883478,0.7522675736961452,0.750132813883478,0.7522675736961452,0.7497488319571518,0.7520762745252542,0.750132813883478,0.7522675736961452,0.7501338554257737,0.7522831899549933
37,identity,0.01,500,adaptive,200,23,lbfgs,0.7746768195502036,0.780328798185941,0.7744392055900129,0.7803782188841202,0.7746768195502036,0.780328798185941,0.7746054604050612,0.7803520259140853,0.7739970800266393,0.7797296910437722,0.7746768195502036,0.780328798185941,0.7746768195502036,0.780328798185941,0.7741628291213621,0.7799148782033868,0.7746768195502036,0.780328798185941,0.7745860031269934,0.7802016462958754
38,relu,0.0001,100,adaptive,100,23,lbfgs,0.7867540286877989,0.7848639455782312,0.7864880724269212,0.7847251193621656,0.7867540286877989,0.7848639455782312,0.786697105377533,0.784827310882325,0.7862141617522043,0.7845076067415766,0.7867540286877989,0.7848639455782312,0.7867540286877989,0.7848639455782312,0.7863285164338027,0.7845935362905422,0.7867540286877989,0.7848639455782312,0.7867030347589469,0.7848228433665025
39,identity,0.0001,500,invscaling,100,23,lbfgs,0.7670975739330618,0.7712585034013606,0.7668995276412512,0.771228157248474,0.7670975739330618,0.7712585034013606,0.7670259717043587,0.7712452673133994,0.7663002373068819,0.7707023446011386,0.7670975739330618,0.7712585034013606,0.7670975739330618,0.7712585034013606,0.7665044946675255,0.7708606921029282,0.7670975739330618,0.7712585034013606,0.7669667047205682,0.7711475492296889
40,tanh,0.001,500,invscaling,100,23,lbfgs,0.7702851071365326,0.7769274376417233,0.7700929440106373,0.7768511721958764,0.7702851071365326,0.7769274376417233,0.770740691447166,0.7772553790588657,0.7704735377640319,0.7770924128152616,0.7702851071365326,0.7769274376417233,0.7702851071365326,0.7769274376417233,0.7701360499010702,0.77685628211944,0.7702851071365326,0.7769274376417233,0.7703659587663385,0.7769760041093134
41,logistic,0.001,500,adaptive,500,23,adam,0.7889144678590402,0.7953514739229025,0.7886314757809588,0.7952567983501349,0.7889144678590402,0.7953514739229025,0.7891679513614585,0.7956427833775722,0.7889533478646562,0.7955075240753362,0.7889144678590402,0.7953514739229025,0.7889144678590402,0.7953514739229025,0.7887243422146433,0.7952798280207046,0.7889144678590402,0.7953514739229025,0.788973278861203,0.7953948956818103
42,tanh,0.01,20,adaptive,500,23,sgd,0.7704976093500974,0.7755102040816326,0.7701546306148639,0.7753094489574484,0.7704976093500974,0.7755102040816326,0.7704641207835977,0.7755029038952987,0.770059409536063,0.7752903209412243,0.7704976093500974,0.7755102040816326,0.7704976093500974,0.7755102040816326,0.7701035281250406,0.7752996352266806,0.7704976093500974,0.7755102040816326,0.7704773827688284,0.7755063046583928
43,identity,0.01,20,invscaling,200,23,adam,0.7653267221533557,0.768140589569161,0.7657033176121224,0.7683015267853079,0.7653267221533557,0.768140589569161,0.7655384362999343,0.7682273557204751,0.7639721391654166,0.7674026106449028,0.7653267221533557,0.768140589569161,0.7653267221533557,0.768140589569161,0.7643465143050203,0.7676136363636363,0.7653267221533557,0.768140589569161,0.7649434668057363,0.7679461187433126
44,relu,0.01,100,constant,500,23,lbfgs,0.8092084292544715,0.784297052154195,0.8088972338924283,0.7840990944638815,0.8092084292544715,0.784297052154195,0.8092616643639233,0.7843375434999409,0.8090264888093216,0.7841788717312659,0.8092084292544715,0.784297052154195,0.8092084292544715,0.784297052154195,0.808955181321754,0.7841338706921678,0.8092084292544715,0.784297052154195,0.8092283836149287,0.7843121927022181
