,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,entropy,,sqrt,30.0,4,10,100,23,0.7752080750841155,0.780045351473923,0.7749026353132467,0.7798785211284605,0.7752080750841155,0.780045351473923,0.7751497051206088,0.7800104914017368,0.7746782332715915,0.7797272786048512,0.7752080750841155,0.780045351473923,0.7752080750841155,0.780045351473923,0.7747736779703966,0.7797905856189771,0.7752080750841155,0.780045351473923,0.7751621831309725,0.7800156287908458
1,gini,5.0,sqrt,10.0,1,2,10,23,0.7390826987781123,0.7471655328798186,0.73868828629744,0.7469371959914703,0.7390826987781123,0.7471655328798186,0.7391332541927255,0.7471572297202423,0.7387673283592517,0.7469200392294735,0.7390826987781123,0.7471655328798186,0.7390826987781123,0.7471655328798186,0.7387241179155821,0.7469283770482311,0.7390826987781123,0.7471655328798186,0.7391042959046317,0.7471611411051596
2,gini,,sqrt,,4,5,250,23,0.81349389056136,0.7780612244897959,0.8133315289245986,0.7778881615787137,0.81349389056136,0.7780612244897959,0.8134521311048856,0.7780271363406435,0.8129382166111843,0.7777498828358831,0.81349389056136,0.7780612244897959,0.81349389056136,0.7780612244897959,0.8130970691287343,0.7778084318972753,0.81349389056136,0.7780612244897959,0.8134353281362531,0.7780336084922936
3,entropy,,0.5,,4,5,10,23,0.8129980520630423,0.7712585034013606,0.8127275383275119,0.7710572278154757,0.8129980520630423,0.7712585034013606,0.8129781646706223,0.771323917966773,0.8126478117667453,0.7711626379472782,0.8129980520630423,0.7712585034013606,0.8129980520630423,0.7712585034013606,0.8126856930944476,0.7710994453750502,0.8129980520630423,0.7712585034013606,0.8129861320330178,0.7712807373190168
4,entropy,15.0,log2,,2,2,250,23,0.8090313440765008,0.796201814058957,0.8089456914728848,0.7964352798844951,0.8090313440765008,0.796201814058957,0.8096598925060434,0.7969977202823828,0.8094161794014136,0.7966569708065941,0.8090313440765008,0.796201814058957,0.8090313440765008,0.796201814058957,0.8089389211231897,0.7961860778511796,0.8090313440765008,0.796201814058957,0.8091039727419047,0.7962398855293863
5,entropy,5.0,0.5,30.0,1,10,100,23,0.7694350982822737,0.7808956916099773,0.7696914024274968,0.7812049971198156,0.7694350982822737,0.7808956916099773,0.7705824409762503,0.7817904682634382,0.7700736258782171,0.7813881623873753,0.7694350982822737,0.7808956916099773,0.7694350982822737,0.7808956916099773,0.7693899650113818,0.7808846890032499,0.7694350982822737,0.7808956916099773,0.7695166809542151,0.7809313400557742
6,entropy,5.0,log2,,2,5,50,23,0.7690809279263325,0.7726757369614512,0.7694043149878067,0.7731882452807308,0.7690809279263325,0.7726757369614512,0.7692578730722597,0.7729928284395666,0.7677906617335909,0.7717372808982765,0.7690809279263325,0.7726757369614512,0.7690809279263325,0.7726757369614512,0.7681605554138238,0.7720004641448133,0.7690809279263325,0.7726757369614512,0.7687343008418014,0.7723732710123321
7,gini,5.0,0.7,30.0,2,10,250,23,0.7757039135824332,0.7876984126984127,0.775452961602,0.7876506430651165,0.7757039135824332,0.7876984126984127,0.776043844290536,0.788072608159234,0.7758017966722763,0.7879072156691446,0.7757039135824332,0.7876984126984127,0.7757039135824332,0.7876984126984127,0.7755281858054845,0.7876390215684694,0.7757039135824332,0.7876984126984127,0.7757748720138846,0.7877457242765032
8,gini,15.0,0.7,10.0,4,2,10,23,0.753957853727643,0.7636054421768708,0.7535945087208609,0.763416593610186,0.753957853727643,0.7636054421768708,0.7540614260007235,0.7637198958536493,0.7537490614902578,0.7635623295410866,0.753957853727643,0.7636054421768708,0.753957853727643,0.7636054421768708,0.7536574414392769,0.7634648907164887,0.753957853727643,0.7636054421768708,0.7539953290942444,0.7636381285630062
9,entropy,,,,4,5,100,23,0.8149105719851248,0.780328798185941,0.8146044890818027,0.7801274332731286,0.8149105719851248,0.780328798185941,0.8149762809107011,0.7803497736976923,0.8147611270591435,0.7801729364882031,0.8149105719851248,0.780328798185941,0.8149105719851248,0.780328798185941,0.8146729615482828,0.7801486147762613,0.8149105719851248,0.780328798185941,0.8149336044508128,0.7803377181567173
10,entropy,15.0,0.5,30.0,1,5,50,23,0.7792456171418453,0.7882653061224489,0.7789574016294365,0.7881065477224893,0.7792456171418453,0.7882653061224489,0.7791858726825182,0.7882340355285175,0.7787025083718124,0.7879631842521133,0.7792456171418453,0.7882653061224489,0.7792456171418453,0.7882653061224489,0.7788093160293134,0.7880241361778604,0.7792456171418453,0.7882653061224489,0.7791951676511618,0.7882389598259812
11,gini,,sqrt,,1,5,250,23,0.8172480963343368,0.7704081632653061,0.8169949971882189,0.7702274100180645,0.8172480963343368,0.7704081632653061,0.8172226427300233,0.7703703939300617,0.8168793444518496,0.7700813828228559,0.8172480963343368,0.7704081632653061,0.8172480963343368,0.7704081632653061,0.8169332143874068,0.7701422349888807,0.8172480963343368,0.7704081632653061,0.817231424531852,0.7703771382997231
12,gini,20.0,sqrt,30.0,1,10,100,23,0.7732601381264388,0.7766439909297053,0.7730180457353251,0.776525823108047,0.7732601381264388,0.7766439909297053,0.773187434039265,0.7766051002542227,0.7725782096812074,0.7762205573891878,0.7732601381264388,0.7766439909297053,0.7732601381264388,0.7766439909297053,0.772742916069626,0.7763308810751318,0.7732601381264388,0.7766439909297053,0.7731687507103131,0.7765823177765317
13,entropy,15.0,0.7,10.0,2,5,250,23,0.7569683017531432,0.7647392290249433,0.7566008370873528,0.7645563875652371,0.7569683017531432,0.7647392290249433,0.7569292160674992,0.7646968310053014,0.7565008382867914,0.7643902785787968,0.7569683017531432,0.7647392290249433,0.7569683017531432,0.7647392290249433,0.7565466869623412,0.7644575648131018,0.7569683017531432,0.7647392290249433,0.7569446195606387,0.7647022894561772
14,gini,,sqrt,30.0,2,10,100,23,0.7732601381264388,0.7766439909297053,0.7730180457353251,0.776525823108047,0.7732601381264388,0.7766439909297053,0.773187434039265,0.7766051002542227,0.7725782096812074,0.7762205573891878,0.7732601381264388,0.7766439909297053,0.7732601381264388,0.7766439909297053,0.772742916069626,0.7763308810751318,0.7732601381264388,0.7766439909297053,0.7731687507103131,0.7765823177765317
15,gini,5.0,0.5,,1,2,250,23,0.7762705861519391,0.7868480725623582,0.7759211398100221,0.7866560563312354,0.7762705861519391,0.7868480725623582,0.7763059819085185,0.7869170014658383,0.7759959560260447,0.7867748168395956,0.7762705861519391,0.7868480725623582,0.7762705861519391,0.7868480725623582,0.7759560076396378,0.7867030274184938,0.7762705861519391,0.7868480725623582,0.776285750144498,0.7868701446494681
16,gini,5.0,sqrt,10.0,2,5,100,23,0.7557995395785373,0.7650226757369615,0.7555177195371824,0.7648762949138528,0.7557995395785373,0.7650226757369615,0.7557093433421257,0.7649757588064778,0.7550585881139038,0.7645972658382244,0.7557995395785373,0.7650226757369615,0.7557995395785373,0.7650226757369615,0.7552232567190824,0.7646982535190328,0.7557995395785373,0.7650226757369615,0.7556897513841447,0.7649607630999521
17,entropy,20.0,log2,30.0,2,2,50,23,0.7722330440942093,0.7752267573696145,0.7719455814359195,0.775090150422419,0.7722330440942093,0.7752267573696145,0.7721634871693736,0.7751854157934895,0.7716345164264733,0.7748276151561636,0.7722330440942093,0.7752267573696145,0.7722330440942093,0.7752267573696145,0.771759567041554,0.7749258395498748,0.7722330440942093,0.7752267573696145,0.7721678765682995,0.7751731053552423
18,entropy,15.0,sqrt,30.0,4,5,100,23,0.7752080750841155,0.780045351473923,0.7749026353132467,0.7798785211284605,0.7752080750841155,0.780045351473923,0.7751497051206088,0.7800104914017368,0.7746782332715915,0.7797272786048512,0.7752080750841155,0.780045351473923,0.7752080750841155,0.780045351473923,0.7747736779703966,0.7797905856189771,0.7752080750841155,0.780045351473923,0.7751621831309725,0.7800156287908458
19,gini,,sqrt,10.0,2,5,10,23,0.734018062688153,0.7448979591836735,0.7337948106297435,0.74502034997764,0.734018062688153,0.7448979591836735,0.733919288524553,0.7449667407868943,0.7329940662827079,0.7440878359361405,0.734018062688153,0.7448979591836735,0.734018062688153,0.7448979591836735,0.7332151127378661,0.7442759268547969,0.734018062688153,0.7448979591836735,0.7337899813594725,0.7446548660896297
20,entropy,20.0,0.5,30.0,2,10,250,23,0.7770851779706038,0.7828798185941043,0.7769271329093672,0.7828740589491554,0.7770851779706038,0.7828798185941043,0.7770278060701434,0.7828773413274596,0.776300486758711,0.7823426840538109,0.7770851779706038,0.7828798185941043,0.7770851779706038,0.7828798185941043,0.7765159310177787,0.7825073470069699,0.7770851779706038,0.7828798185941043,0.7769589449621177,0.7827777715839305
21,entropy,15.0,log2,30.0,1,5,50,23,0.7722330440942093,0.7752267573696145,0.7719455814359195,0.775090150422419,0.7722330440942093,0.7752267573696145,0.7721634871693736,0.7751854157934895,0.7716345164264733,0.7748276151561636,0.7722330440942093,0.7752267573696145,0.7722330440942093,0.7752267573696145,0.771759567041554,0.7749258395498748,0.7722330440942093,0.7752267573696145,0.7721678765682995,0.7751731053552423
22,entropy,5.0,log2,,4,2,10,23,0.7560828758632903,0.7599206349206349,0.7557758887932137,0.7597943722943723,0.7560828758632903,0.7599206349206349,0.7559953914758152,0.759874037999038,0.7553980918523042,0.7594394714249826,0.7560828758632903,0.7599206349206349,0.7560828758632903,0.7599206349206349,0.7555404571138096,0.7595580629730492,0.7560828758632903,0.7599206349206349,0.7559927446274742,0.759838593093079
23,gini,,0.7,10.0,1,2,250,23,0.7613954312024084,0.7695578231292517,0.7613099389365645,0.7697134282118308,0.7613954312024084,0.7695578231292517,0.7613575586868512,0.769641085498,0.7604123424664462,0.7688296486813448,0.7613954312024084,0.7695578231292517,0.7613954312024084,0.7695578231292517,0.7606741952955018,0.7690403212202052,0.7613954312024084,0.7695578231292517,0.7611902279540562,0.7693687954858274
24,gini,20.0,,10.0,4,5,10,23,0.7579599787497786,0.7678571428571429,0.7576041814853938,0.7676541174291727,0.7579599787497786,0.7678571428571429,0.7580756022335452,0.7679231261212333,0.75777548235863,0.7677582041418681,0.7579599787497786,0.7678571428571429,0.7579599787497786,0.7678571428571429,0.7576722035729013,0.7676957196557201,0.7579599787497786,0.7678571428571429,0.7580002022071839,0.7678797073906751
