,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,entropy,,sqrt,30.0,4,10,100,23,0.7661538461538462,0.6744186046511628,0.7659743803532176,0.7032019704433498,0.7661538461538462,0.6744186046511628,0.7661538461538462,0.7051208614961623,0.7659743803532176,0.6785714285714286,0.7661538461538462,0.6744186046511628,0.7661538461538462,0.6744186046511628,0.7659743803532176,0.6655555555555556,0.7661538461538462,0.6744186046511628,0.7661538461538462,0.6642894056847546
1,gini,5.0,sqrt,10.0,1,2,10,23,0.7476923076923077,0.627906976744186,0.747534516765286,0.6333333333333333,0.7476923076923077,0.627906976744186,0.7476437566378394,0.6341085271317829,0.7473281285530206,0.6298701298701299,0.7476923076923077,0.627906976744186,0.7476923076923077,0.627906976744186,0.7474029420685471,0.6260869565217391,0.7476923076923077,0.627906976744186,0.7476396957607148,0.6254802831142569
2,gini,,sqrt,,4,5,250,23,0.7661538461538462,0.6511627906976745,0.7661578187893978,0.6702380952380952,0.7661538461538462,0.6511627906976745,0.7661557156293999,0.6717054263565891,0.7656332903812628,0.6547619047619048,0.7661538461538462,0.6511627906976745,0.7661538461538462,0.6511627906976745,0.7657790927021696,0.6442360728075014,0.7661538461538462,0.6511627906976745,0.7660385373994841,0.6430816198258059
3,entropy,,0.5,,4,5,10,23,0.7630769230769231,0.6744186046511628,0.7629981024667931,0.7032019704433498,0.7630769230769231,0.6744186046511628,0.7630453948328711,0.7051208614961623,0.762639278405215,0.6785714285714286,0.7630769230769231,0.6744186046511628,0.7630769230769231,0.6744186046511628,0.7627534816696846,0.6655555555555556,0.7630769230769231,0.6744186046511628,0.7629960627251134,0.6642894056847546
4,entropy,15.0,log2,,2,2,250,23,0.7692307692307693,0.6511627906976745,0.7691650853889943,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7692044956940592,0.6717054263565891,0.7687978473432882,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7689157288990434,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7691520091478378,0.6430816198258059
5,entropy,5.0,0.5,30.0,1,10,100,23,0.7630769230769231,0.6511627906976745,0.7666511951728939,0.6702380952380952,0.7630769230769231,0.6511627906976745,0.7659667600906866,0.6717054263565891,0.7612749185173956,0.6547619047619048,0.7630769230769231,0.6511627906976745,0.7630769230769231,0.6511627906976745,0.7613052145630049,0.6442360728075014,0.7630769230769231,0.6511627906976745,0.7618746922996215,0.6430816198258059
6,entropy,5.0,log2,,2,5,50,23,0.7384615384615385,0.6744186046511628,0.7430799220272905,0.6898148148148149,0.7384615384615385,0.6744186046511628,0.7423241865347129,0.6912144702842377,0.7362995527931478,0.6774891774891775,0.7384615384615385,0.6744186046511628,0.7384615384615385,0.6744186046511628,0.7359011864131317,0.6699561403508771,0.7384615384615385,0.6744186046511628,0.7366212854267461,0.66906364749082
7,gini,5.0,0.7,30.0,2,10,250,23,0.7692307692307693,0.6511627906976745,0.7738002795465134,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7729938953731468,0.6717054263565891,0.7672629424694914,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.767247553115302,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7678425179499421,0.6430816198258059
8,gini,15.0,0.7,10.0,4,2,10,23,0.7446153846153846,0.6744186046511628,0.7451868415068597,0.7032019704433498,0.7446153846153846,0.6744186046511628,0.7457582983983349,0.7051208614961623,0.7451868415068597,0.6785714285714286,0.7446153846153846,0.6744186046511628,0.7446153846153846,0.6744186046511628,0.7446153846153846,0.6655555555555556,0.7446153846153846,0.6744186046511628,0.7446153846153846,0.6642894056847546
9,entropy,,,,4,5,100,23,0.7630769230769231,0.6511627906976745,0.7629094631483166,0.6702380952380952,0.7630769230769231,0.6511627906976745,0.7630464758171764,0.6717054263565891,0.7628098233911923,0.6547619047619048,0.7630769230769231,0.6511627906976745,0.7630769230769231,0.6511627906976745,0.7628524046434494,0.6442360728075014,0.7630769230769231,0.6511627906976745,0.7630544712335757,0.6430816198258059
